sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,v1,2021,4,46,25,972,93,82,24,30,6,1,2,23,7,1,9,1,1,0,44,2,1,3,0,0,1,1,1,21.0,9,5,4,1,8,13,1,2,190,112,204,114,49,21,3,3,0,73,0.366,0.413,0.537,0.95,,0.268,0.075,0.097,0.171,0.438,2.0,1.714,,,,0.81,3.857,0.429,3.429,5.571,1.625,2.143,0.959,73,5.526
softball,v1,2021,4,47,24,220,87,78,7,19,2,0,3,7,5,2,9,1,2,1,30,1,1,1,2,0,1,1,0,20.0,22,22,22,6,10,14,2,2,265,128,220,152,46,19,0,3,0,65,0.244,0.302,0.385,0.687,,0.205,0.057,0.103,0.141,0.328,2.0,9.9,,,,1.6,9.9,2.7,4.5,6.3,1.4,9.9,1.0,65,3.849
softball,v1,2021,4,48,24,772,85,74,10,12,2,0,5,10,7,2,11,4,4,0,29,1,1,2,1,0,0,1,0,22.0,24,10,8,2,3,13,3,0,219,96,214,131,54,26,2,3,0,82,0.162,0.25,0.392,0.642,,0.378,0.082,0.129,0.23,0.288,2.0,3.273,,,,1.227,9.818,0.818,1.227,5.318,4.333,4.091,0.976,82,5.496
softball,v1,2021,4,49,24,370,90,81,5,16,2,1,1,4,6,2,16,2,2,0,23,0,1,0,3,0,0,0,0,20.0,22,9,8,2,4,5,1,2,245,121,223,146,55,31,1,7,1,87,0.198,0.27,0.284,0.554,,0.185,0.067,0.178,0.086,0.266,2.0,3.6,,,,1.3,9.9,0.9,1.8,2.25,1.25,4.05,0.989,87,5.301
softball,v1,2021,4,50,27,518,88,76,8,19,2,0,3,7,8,2,13,2,3,1,30,0,2,1,2,0,0,0,0,20.667,32,17,17,5,11,10,1,4,394,148,248,128,50,17,4,0,1,71,0.25,0.337,0.395,0.732,,0.263,0.091,0.148,0.145,0.367,2.0,7.403,,,,2.081,13.935,2.177,4.79,4.355,0.909,7.403,0.944,71,4.711
softball,v1,2021,4,51,22,670,106,91,21,32,6,0,7,20,12,2,12,2,2,0,59,0,1,2,1,0,1,1,0,20.0,13,8,7,1,11,10,2,1,313,138,175,145,47,26,3,2,1,76,0.352,0.438,0.648,1.086,,0.451,0.113,0.113,0.297,0.542,2.0,3.15,,,,1.2,5.85,0.45,4.95,4.5,0.909,3.6,0.961,76,4.531
softball,v1,2021,4,52,26,442,100,83,18,25,3,0,4,18,12,1,15,5,6,1,40,1,3,2,1,0,1,1,0,21.0,29,21,21,7,6,16,4,2,373,134,239,142,47,14,0,0,0,61,0.301,0.392,0.482,0.874,,0.373,0.12,0.15,0.181,0.446,2.0,9.0,,,,1.667,12.429,3.0,2.571,6.857,2.667,9.0,1.0,61,3.866
softball,v1,2021,4,53,23,420,87,76,10,19,4,0,2,10,6,3,8,1,1,0,29,1,1,1,2,0,2,0,0,19.333,20,11,10,3,10,12,1,1,290,105,191,136,44,23,2,3,0,69,0.25,0.326,0.382,0.708,,0.224,0.069,0.092,0.132,0.313,2.0,4.655,,,,1.552,9.311,1.397,4.655,5.586,1.2,5.121,0.971,69,4.434
softball,v1,2021,4,54,23,382,93,83,7,22,3,0,3,6,9,0,16,4,4,0,34,1,0,1,2,1,1,1,0,22.0,17,11,10,3,12,18,1,1,113,135,239,140,48,15,2,0,0,65,0.265,0.333,0.41,0.743,,0.301,0.097,0.172,0.145,0.385,2.0,4.091,,,,1.318,6.955,1.227,4.909,7.364,1.5,4.5,0.969,65,4.05
softball,v1,2021,4,55,25,186,93,79,9,18,5,0,1,8,10,3,18,0,0,0,26,0,1,0,3,0,0,0,0,20.0,26,26,22,8,14,14,1,0,101,151,208,120,43,12,4,2,0,59,0.228,0.337,0.329,0.666,,0.228,0.108,0.194,0.101,0.317,,9.9,,,,2.0,11.7,3.6,6.3,6.3,1.0,11.7,0.932,59,4.125
softball,v1,2021,4,56,23,892,99,88,22,25,8,0,7,20,10,0,14,3,3,0,54,0,1,3,0,0,0,1,1,22.0,25,10,10,1,10,15,1,1,113,140,247,131,50,17,0,1,0,67,0.284,0.357,0.614,0.971,,0.477,0.101,0.141,0.33,0.478,2.0,4.091,,,,1.591,10.227,0.409,4.091,6.136,1.5,4.091,1.0,67,4.603
softball,v1,2021,4,57,23,718,103,85,17,24,5,1,4,17,15,2,11,2,2,0,43,0,1,2,1,0,1,2,0,20.0,22,8,6,3,8,12,2,0,103,129,196,141,47,25,1,7,1,73,0.282,0.402,0.506,0.908,,0.424,0.146,0.107,0.224,0.4,2.0,2.7,,,,1.5,9.9,1.35,3.6,5.4,1.5,3.6,0.986,73,4.596
softball,v1,2021,4,58,20,972,87,76,16,21,5,1,3,15,8,1,15,2,3,1,37,1,1,3,0,0,1,2,0,22.334,18,5,5,1,4,9,1,2,200,125,185,128,56,34,1,2,1,91,0.276,0.349,0.487,0.836,,0.329,0.092,0.172,0.211,0.407,2.0,2.015,,,,0.985,7.254,0.403,1.612,3.627,2.25,2.015,0.989,91,6.328
softball,v1,2021,4,59,25,480,76,69,4,13,2,0,3,4,4,0,17,0,0,0,24,0,3,1,2,0,0,0,1,20.000999999999998,25,16,16,4,5,15,0,0,216,107,193,123,43,28,3,3,0,74,0.188,0.233,0.348,0.581,,0.217,0.053,0.224,0.159,0.327,,7.2,,,,1.5,11.249,1.8,2.25,6.75,3.0,7.2,0.959,74,5.195
softball,v1,2021,4,60,20,148,76,69,1,10,1,1,0,0,6,0,13,1,3,2,13,0,1,0,3,0,0,0,0,19.0,18,13,10,3,8,16,1,1,236,142,202,131,45,24,0,6,0,69,0.145,0.213,0.188,0.401,,0.116,0.079,0.171,0.043,0.179,,4.737,,,,1.368,8.526,1.421,3.789,7.579,2.0,6.158,1.0,69,4.74
softball,v1,2021,4,61,26,812,104,94,22,32,12,1,4,22,5,2,16,1,1,0,58,1,2,2,1,0,1,0,0,22.0,15,9,8,2,6,21,1,0,208,117,222,138,46,15,1,2,2,62,0.34,0.382,0.617,0.999,,0.34,0.048,0.154,0.277,0.48,2.0,3.273,,,,0.955,6.136,0.818,2.455,8.591,3.5,3.682,0.984,62,3.978
softball,v1,2021,4,62,22,860,87,80,13,23,5,0,3,11,3,1,13,1,2,1,37,0,3,2,1,0,0,0,0,21.0,24,5,3,1,5,25,0,0,346,122,224,113,36,20,3,3,0,59,0.288,0.321,0.462,0.783,,0.212,0.034,0.149,0.175,0.406,2.0,1.286,,,,1.381,10.286,0.429,2.143,10.714,5.0,2.143,0.949,59,4.46
softball,v1,2021,4,63,22,592,102,90,13,26,1,2,5,13,7,1,20,2,2,0,46,2,2,1,2,0,0,1,1,23.0,17,16,13,3,10,19,2,0,378,140,239,119,49,26,2,0,0,77,0.289,0.34,0.511,0.851,,0.322,0.069,0.196,0.222,0.463,2.0,5.087,,,,1.174,6.652,1.174,3.913,7.435,1.9,6.261,0.974,77,5.672
