sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,v1,2020,2,6,22,982,102,95,24,34,5,2,5,23,5,1,20,1,1,0,58,0,1,2,1,0,0,0,0,21.0,22,11,11,3,5,8,0,0,279,94,185,106,57,28,0,12,1,85,0.358,0.396,0.611,1.007,,0.316,0.049,0.196,0.253,0.557,2.0,4.714,,,,1.286,9.429,1.286,2.143,3.429,1.6,4.714,1.0,85,7.217
softball,v1,2020,2,7,21,1062,98,86,26,34,4,0,4,25,6,0,13,9,10,1,50,1,5,3,0,1,1,2,0,21.0,15,5,4,1,7,26,2,1,368,126,242,127,38,24,2,3,0,64,0.395,0.43,0.581,1.011,,0.349,0.061,0.133,0.186,0.543,2.0,1.714,,,,1.048,6.429,0.429,3.0,11.143,3.714,2.143,0.969,64,4.394
softball,v1,2020,2,8,25,68,92,81,12,21,5,0,1,10,10,0,12,2,3,1,29,1,0,0,2,0,0,0,0,19.668,40,35,30,7,7,8,1,0,387,162,243,120,50,26,5,3,0,81,0.259,0.337,0.358,0.695,,0.235,0.109,0.13,0.099,0.319,2.0,13.728,,,,2.39,18.304,3.203,3.203,3.661,1.143,16.016,0.938,81,5.7
softball,v1,2020,2,9,24,460,93,78,12,21,2,0,2,10,9,2,15,0,0,0,29,1,3,1,2,0,0,0,0,20.0,33,23,23,1,11,18,0,2,446,182,282,125,41,23,2,2,1,66,0.269,0.356,0.372,0.728,,0.218,0.097,0.161,0.103,0.371,,10.35,,,,2.2,14.85,0.45,4.95,8.1,1.636,10.35,0.97,66,4.608
softball,v1,2020,2,10,23,952,88,82,12,26,4,1,4,11,5,1,10,1,2,1,44,0,0,3,0,0,1,2,0,21.0,13,7,6,1,7,23,1,0,343,123,229,137,40,20,3,0,0,63,0.317,0.364,0.537,0.901,,0.28,0.057,0.114,0.22,0.441,2.0,2.571,,,,0.952,5.571,0.429,3.0,9.857,3.286,3.0,0.952,63,3.942
softball,v1,2020,2,11,24,220,92,81,10,25,4,1,2,9,7,0,15,1,1,0,37,1,3,0,3,0,0,0,0,20.000999999999998,34,21,19,4,9,8,0,1,427,172,259,138,52,20,2,0,0,74,0.309,0.36,0.457,0.817,,0.247,0.076,0.163,0.148,0.415,2.0,8.55,,,,2.15,15.299,1.8,4.05,3.6,0.889,9.45,0.973,74,4.696
softball,v1,2020,2,12,22,490,105,92,20,27,7,2,3,17,11,2,16,4,4,0,47,0,0,1,2,0,0,0,0,20.0,31,19,17,6,9,13,2,1,411,153,262,126,45,19,5,2,1,69,0.293,0.381,0.511,0.892,,0.38,0.105,0.152,0.217,0.411,2.0,7.65,,,,2.0,13.95,2.7,4.05,5.85,1.444,8.55,0.928,69,4.571
softball,v1,2020,2,13,25,712,104,93,19,29,4,1,6,18,9,1,15,1,1,0,53,0,1,2,1,0,0,1,0,21.0,29,14,11,4,7,12,1,2,383,134,249,119,48,23,3,0,0,74,0.312,0.379,0.57,0.949,,0.366,0.087,0.144,0.258,0.486,2.0,4.714,,,,1.714,12.429,1.714,3.0,5.143,1.714,6.0,0.959,74,5.37
softball,v1,2020,2,14,19,662,90,75,20,23,3,0,6,18,6,4,16,2,3,1,44,1,4,3,0,0,1,1,0,21.0,21,14,13,4,8,28,1,1,402,146,256,111,37,14,3,2,1,54,0.307,0.384,0.587,0.971,,0.373,0.067,0.178,0.28,0.537,2.0,5.571,,,,1.381,9.0,1.714,3.429,12.0,3.5,6.0,0.944,54,4.135
softball,v1,2020,2,15,23,520,90,83,16,21,1,0,7,16,4,3,17,0,1,1,43,0,0,2,1,0,2,2,0,20.0,18,13,10,4,3,13,1,1,199,108,208,145,48,22,3,0,0,73,0.253,0.311,0.518,0.829,,0.301,0.044,0.189,0.265,0.475,,4.5,,,,1.05,8.1,1.8,1.35,5.85,4.333,5.85,0.959,73,4.345
