sport,api_version,season,seasonId,teamId,G,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,v1,2023,14,186,29,480,80,72,4,13,2,0,2,4,5,3,15,0,0,0,21,0,0,1,2,0,0,0,1,20.0,20,9,9,1,8,12,1,0,360,131,229,172,60,22,1,3,0,83,0.181,0.262,0.292,0.554,,0.181,0.062,0.188,0.111,0.273,,4.05,,,,1.4,9.0,0.45,3.6,5.4,1.5,4.05,0.988,83,4.291
softball,v1,2023,14,187,30,742,92,79,11,21,1,0,2,11,9,2,11,2,2,0,28,1,1,2,1,0,0,0,1,21.0,15,11,10,1,9,10,5,0,363,135,231,186,63,22,2,3,0,87,0.266,0.352,0.354,0.706,,0.228,0.098,0.12,0.089,0.343,2.0,4.286,,,,1.143,6.429,0.429,3.857,4.286,1.111,4.714,0.977,87,4.113
softball,v1,2023,14,188,31,700,98,79,13,21,3,1,1,13,14,3,14,2,2,0,29,1,1,2,1,0,0,0,0,20.0,21,9,8,3,8,14,2,1,346,119,227,177,60,29,1,8,0,90,0.266,0.392,0.367,0.759,,0.304,0.143,0.143,0.101,0.338,2.0,3.6,,,,1.45,9.45,1.35,3.6,6.3,1.75,4.05,0.989,90,4.525
softball,v1,2023,14,189,32,724,87,70,10,18,4,0,2,10,8,3,9,2,2,0,28,2,4,1,2,0,0,0,1,19.666,17,9,9,2,11,13,3,1,392,164,235,179,57,23,1,0,0,81,0.257,0.349,0.4,0.749,,0.286,0.092,0.103,0.143,0.328,2.0,4.119,,,,1.424,7.78,0.915,5.034,5.949,1.182,4.119,0.988,81,4.022
softball,v1,2023,14,190,33,178,98,82,7,18,2,0,2,5,12,3,19,4,4,0,26,0,1,0,3,0,0,0,0,20.0,24,22,20,5,16,21,6,0,449,182,267,175,60,17,2,0,0,79,0.22,0.34,0.317,0.657,,0.293,0.122,0.194,0.098,0.328,2.0,9.0,,,,2.0,10.8,2.25,7.2,9.45,1.312,9.9,0.975,79,3.96
softball,v1,2023,14,191,31,1132,109,85,17,23,4,0,5,14,16,7,14,1,1,0,42,0,1,3,0,0,0,0,1,21.0,17,6,5,1,15,17,0,3,385,139,246,189,63,17,1,2,1,81,0.271,0.426,0.494,0.92,,0.424,0.147,0.128,0.224,0.424,2.0,2.143,,,,1.524,7.286,0.429,6.429,7.286,1.133,2.571,0.988,81,3.81
softball,v1,2023,14,192,29,464,93,80,14,19,4,0,2,14,10,0,20,3,3,0,29,2,1,1,2,0,0,0,0,20.333,18,7,7,1,10,14,4,0,350,129,223,184,61,18,3,2,0,82,0.238,0.315,0.362,0.677,,0.288,0.108,0.215,0.125,0.35,2.0,3.098,,,,1.377,7.967,0.443,4.426,6.197,1.4,3.098,0.963,82,3.864
softball,v1,2023,14,193,28,542,88,76,8,17,2,0,1,8,11,1,16,0,1,1,22,0,0,2,1,1,2,2,0,20.999000000000002,18,11,7,3,8,17,1,0,365,118,251,187,63,18,6,0,0,87,0.224,0.33,0.289,0.619,,0.197,0.125,0.182,0.066,0.305,,3.0,,,,1.238,7.715,1.286,3.429,7.286,2.125,4.715,0.931,87,3.898
softball,v1,2023,14,194,10,74,34,31,3,4,0,0,2,3,1,1,10,0,0,0,10,0,1,0,1,0,0,0,0,8.667,9,4,3,1,0,14,2,0,159,55,104,81,26,7,0,0,0,33,0.129,0.182,0.323,0.505,,0.226,0.029,0.294,0.194,0.316,,3.115,,,,1.038,9.346,1.038,0.0,14.538,inf,4.154,1.0,33,3.667
softball,v1,2023,14,195,10,254,25,20,4,5,0,0,3,4,1,3,8,0,0,0,14,0,1,1,0,0,0,0,0,7.0,9,3,3,3,0,5,0,0,98,33,65,63,21,11,0,7,0,32,0.25,0.375,0.7,1.075,,0.5,0.04,0.32,0.45,0.889,,3.857,,,,1.286,11.571,3.857,0.0,6.429,inf,3.857,1.0,32,4.571
softball,v1,2023,14,196,10,154,27,27,3,9,0,0,3,3,0,0,5,0,0,0,18,0,0,0,1,0,0,0,0,6.0,5,4,4,3,1,8,3,0,112,37,62,53,16,5,0,0,0,21,0.333,0.333,0.667,1.0,,0.333,0.0,0.185,0.333,0.632,,6.0,,,,1.0,7.5,4.5,1.5,12.0,8.0,6.0,1.0,21,3.566
softball,v1,2023,14,197,11,412,37,34,4,9,1,0,1,4,0,2,14,2,2,0,13,0,1,1,0,0,0,0,0,9.0,4,3,3,2,1,10,1,0,136,44,92,75,27,10,1,0,0,38,0.265,0.306,0.382,0.688,,0.176,0.0,0.378,0.118,0.526,2.0,3.0,,,,0.556,4.0,2.0,1.0,10.0,10.0,3.0,0.974,38,4.44
