season,game_id,game_number,game_report_id,play_seq_num,action,play_desc,player_id,team_id,period,clock,home_team_id,home_team_score,is_a_play,narrative_formatted,has_error,goals,assists,shots,shots_on_goal,assist_player_id,good_clear,failed_clear,disruptor_player_id,gw_goals,pp_goals,sh_goals,ua_goals,ot_goals,en_goals,gt_goals,fg_goals,shootout_goals,penalties,shot_clock_violations,rcs,ycs,mn_penalties,mj_penalties,match_penalties,fouls,face_won,face_lost,gbs,dc,ct,turnovers,caused_turnover_player_id,caused_turnover_team,d_save,minutes,seconds,goalie_time,ga,saves,goalie_player_id,shots_faced,scoring_play
2022,241,1,241,0,GOALIE,Paulina DiFatta at goalie for 224.,392,224,1,10:00,223,0,True,Paulina DiFatta at goalie for 224.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,1,GOALIE,Taylor Moreno at goalie for 223.,393,223,1,10:00,223,0,True,Taylor Moreno at goalie for 223.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,2,DC,Draw control by 224 Lindsey McKone.,181,224,1,10:00,223,0,True,Draw control by 224 Lindsey McKone.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,3,FOUL,Foul on 223 Lizzie Colson.,300,223,1,10:00,223,0,True,Foul on 223 Lizzie Colson.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,4,SHOT,"Shot by 224 Kelsey Huff, SAVE Taylor Moreno.",491,224,1,10:00,223,0,True,"Shot by 224 Kelsey Huff, SAVE Taylor Moreno.",False,0,0,1,1,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,393,1,False
2022,241,1,241,5,CLEAR,Clear attempt by 223 good.,,223,1,10:00,223,0,True,Clear attempt by 223 good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,6,SHOT,"GOAL by 223 Lauren Gilbert (FIRST GOAL), goal number 1 for season.",406,223,1,08:55,223,0,True,"GOAL by 223 Lauren Gilbert (FIRST GOAL), goal number 1 for season.",False,1,0,1,1,,0,0,,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,392,1,True
2022,241,1,241,7,DC,Draw control by 223 Haley Warden.,100,223,1,08:55,223,1,True,Draw control by 223 Haley Warden.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,8,SHOT,"Shot by 223 Sam Apuzzo, SAVE Paulina DiFatta.",130,223,1,08:24,223,1,True,"Shot by 223 Sam Apuzzo, SAVE Paulina DiFatta.",False,0,0,1,1,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,392,1,False
2022,241,1,241,9,CLEAR,Clear attempt by 224 good.,,224,1,08:05,223,1,True,Clear attempt by 224 good.,False,0,0,0,0,,1,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,10,GC,Green card on 223 Lauren Gilbert.,,223,1,08:05,223,1,True,Green card on 223 Lauren Gilbert.,False,0,0,0,0,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,False
2022,241,1,241,11,SHOT,"GOAL by 224 Ally Mastroianni, Assist by Jamie Ortega, goal number 1 for season.",395,224,1,07:31,223,1,True,"GOAL by 224 Ally Mastroianni, Assist by Jamie Ortega, goal number 1 for season.",False,1,1,1,1,403,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,393,1,True
