sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2022,11,1,1,Championship,266,58,58,MBLCK,,Eri,Xue,Eri Xue,266,58,58,MBLCK,,128,3,4,1.33,1,7,0.43,1,0.33,0,0,0,0.0,0,0,0.0,2,0.67,2,0.67,195
volleyball,v1,2022,11,1,1,Championship,264,20,20,OUTHT,,Noami,Santos-Lamb,Noami Santos-Lamb,264,20,20,OUTHT,,128,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2022,11,1,1,Championship,269,48,48,OUTHT,,Jamie,Peterson,Jamie Peterson,269,48,48,OUTHT,,128,3,9,3.0,2,27,0.26,0,0.0,0,2,0,0.0,39,3,0.59,5,1.67,1,0.33,217
volleyball,v1,2022,11,1,1,Championship,267,50,50,OPPHT,,Sha'Dare,McNeal,Sha'Dare McNeal,267,50,50,OPPHT,,128,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2022,11,1,1,Championship,262,3,3,SETTR,,Carli,Lloyd,Carli Lloyd,262,3,3,SETTR,,128,3,2,0.67,1,7,0.14,40,13.33,1,2,1,0.33,0,0,0.0,13,4.33,2,0.67,296
volleyball,v1,2022,11,1,1,Championship,59,25,25,OPPHT,,Karsta,Lowe,Karsta Lowe,59,25,25,OPPHT,,128,3,22,7.33,3,56,0.34,0,0.0,0,0,0,0.0,0,0,0.0,1,0.33,1,0.33,349
volleyball,v1,2022,11,1,1,Championship,268,33,33,MBLCK,,Rachael,Fara,Rachael Fara,268,33,33,MBLCK,,128,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
volleyball,v1,2022,11,1,1,Championship,114,30,30,MBLCK,,Lianna,Sybeldon,Lianna Sybeldon,114,30,30,MBLCK,,128,3,3,1.0,2,9,0.11,1,0.33,0,2,0,0.0,1,0,1.0,3,1.0,2,0.67,166
volleyball,v1,2022,11,1,1,Championship,120,29,29,OUTHT,OPPHT,Lindsay,Stalzer,Lindsay Stalzer,120,29,29,OUTHT,OPPHT,128,3,7,2.33,4,28,0.11,0,0.0,0,2,2,0.67,21,1,0.71,9,3.0,0,0.0,214
volleyball,v1,2022,11,1,1,Championship,275,38,38,SETTR,,Tori,Dilfer,Tori Dilfer,275,38,38,SETTR,,128,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,140
