sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,2022,13,3,Victoria,Hayward,Victoria Hayward,15,0,0,61,56,12,18,1,1,2,6,4,0,3,5,6,1,27,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,103,14,0,0,0,0,14,0.321,0.367,0.482,0.849,,0.304,0.066,0.049,0.161,0.392,2.0,,,,,,,,,,,,1.0,14,1.223
softball,2022,13,7,Sashel,Palacios,Sashel Palacios,0,0,0,37,32,1,9,1,0,0,3,4,0,9,0,0,0,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281,0.361,0.312,0.673,,0.156,0.108,0.243,0.031,0.391,,,,,,,,,,,,,,0,
softball,2022,13,9,Anissa,Urtez,Anissa Urtez,15,0,0,54,50,9,14,2,0,4,9,1,1,5,0,0,0,28,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,104,28,31,2,4,0,61,0.28,0.302,0.56,0.862,,0.3,0.019,0.093,0.28,0.429,,,,,,,,,,,,,0.967,61,5.106
softball,2022,13,10,Aleshia,Ocasio,Aleshia Ocasio,7,3,568,20,17,4,6,1,0,1,1,2,0,5,0,0,0,10,0,1,2,2,0,0,0,0,23.333,29,14,14,5,10,21,2,1,405,141,264,23,2,5,1,0,0,8,0.353,0.421,0.588,1.009,,0.353,0.1,0.25,0.235,0.636,,5.4,,,,1.671,11.186,1.929,3.857,8.1,2.1,5.4,0.875,8,2.739
softball,2022,13,11,Kelsey,Harshman,Kelsey Harshman,15,0,0,55,45,9,15,5,1,1,12,8,2,7,0,0,0,25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,105,21,10,0,4,0,31,0.333,0.455,0.556,1.011,,0.4,0.145,0.127,0.222,0.432,,,,,,,,,,,,,1.0,31,2.657
softball,2022,13,12,Abby,Ramirez,Abby Ramirez,11,0,0,38,36,3,8,1,1,0,4,1,0,8,0,0,0,11,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,16,14,0,2,0,30,0.222,0.243,0.306,0.549,,0.111,0.026,0.211,0.083,0.286,,,,,,,,,,,,,1.0,30,3.803
softball,2022,13,19,Haylie,Wagner,Haylie Wagner,6,6,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,20.333,33,25,23,10,3,13,0,0,327,115,222,16,1,4,0,0,0,5,,,,,,,,,,,,10.18,,,,1.771,14.607,4.426,1.328,5.754,4.333,11.066,1.0,5,2.812
softball,2022,13,20,Taylor,McQuillin,Taylor McQuillin,9,3,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,35.334,40,26,26,7,16,46,6,3,780,319,474,27,1,7,1,0,0,9,,,,,,,,,,,,6.623,,,,1.585,10.188,1.783,4.075,11.717,2.875,6.623,0.889,9,2.667
softball,2022,13,21,Hannah,Flippen,Hannah Flippen,15,0,0,59,49,12,15,2,1,2,6,7,3,9,1,2,1,25,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,102,28,30,1,8,0,59,0.306,0.424,0.51,0.934,,0.347,0.119,0.153,0.204,0.447,2.0,,,,,,,,,,,,0.983,59,5.118
softball,2022,13,22,Caleigh,Clifton,Caleigh Clifton,12,0,0,40,35,5,6,3,1,2,5,2,2,7,0,0,0,17,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,13,13,1,1,0,27,0.171,0.256,0.486,0.742,,0.371,0.05,0.175,0.314,0.308,,,,,,,,,,,,,0.963,27,3.205
