sport,season,seasonId,playerId,first_name,last_name,full_name,G,GS,AU_POINTS,batting_PA,batting_AB,batting_R,batting_H,batting_2B,batting_3B,batting_HR,batting_RBI,batting_BB,batting_HBP,batting_K,batting_SB,batting_SBA,batting_CS,batting_TB,batting_SF,batting_SH,pitching_W,pitching_L,pitching_SHO,pitching_CG,pitching_QS,pitching_SV,pitching_IP,pitching_H,pitching_R,pitching_ER,pitching_HR,pitching_BB,pitching_SO,pitching_HBP,pitching_WP,pitching_PI,pitching_PI_balls,pitching_PI_strikes,fielding_IP,fielding_PO,fielding_A,fielding_E,fielding_DP,fielding_CS,fielding_TC,batting_BA,batting_OBP,batting_SLG,batting_OPS,batting_OPS+,batting_SecA,batting_BB%,batting_K%,batting_ISO,batting_BABIP,batting_PSN,pitching_ERA,pitching_ERA+,pitching_FIP,pitching_FIP-,pitching_WHIP,pitching_H9,pitching_HR9,pitching_BB9,pitching_SO9,pitching_SO/BB,pitching_RA9,fielding_FLD%,fielding_CH,fielding_RF/9
softball,2021,4,3,Victoria,Hayward,Victoria Hayward,10,0,0,56,48,8,17,4,0,0,2,4,1,4,7,7,0,21,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,16,0,0,0,0,16,0.354,0.407,0.438,0.845,,0.312,0.071,0.071,0.083,0.378,,,,,,,,,,,,,1.0,16,2.028
softball,2021,4,5,Samantha,Show,Samantha Show,7,0,86,36,32,2,5,1,0,1,4,1,1,8,0,0,0,9,0,2,0,0,0,0,0,0,3.667,5,4,4,1,0,3,0,0,50,12,38,28,11,0,0,0,0,11,0.156,0.206,0.281,0.487,,0.156,0.028,0.222,0.125,0.261,,9.817,,,,1.364,12.272,2.454,0.0,7.363,inf,9.817,1.0,11,3.536
softball,2021,4,6,Randi,Rupp,Randi Rupp,3,0,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18.0,16,9,7,1,6,12,1,0,231,98,183,10,0,2,0,0,0,2,,,,,,,,,,,,3.5,,,,1.222,8.0,0.5,3.0,6.0,2.0,4.5,1.0,2,1.8
softball,2021,4,7,Sashel,Palacios,Sashel Palacios,0,0,0,38,34,4,7,1,0,2,5,2,1,5,0,0,0,14,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0.27,0.412,0.682,,0.265,0.053,0.132,0.206,0.333,,,,,,,,,,,,,,0,
softball,2021,4,9,Anissa,Urtez,Anissa Urtez,15,0,0,55,52,3,17,5,1,1,15,2,1,4,0,1,1,27,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,106,30,33,2,7,0,65,0.327,0.364,0.519,0.883,,0.212,0.036,0.073,0.192,0.383,,,,,,,,,,,,,0.969,65,5.349
softball,2021,4,10,Aleshia,Ocasio,Aleshia Ocasio,12,10,1868,35,30,6,7,0,1,0,2,4,0,9,1,2,1,9,0,1,6,5,0,4,3,0,66.333,63,25,22,7,21,55,4,0,711,336,638,48,4,12,1,2,2,17,0.233,0.324,0.3,0.624,,0.2,0.114,0.257,0.067,0.333,,2.985,,,,1.266,8.548,0.95,2.849,7.462,2.619,3.392,0.941,17,3.0
softball,2021,4,11,Kelsey,Harshman,Kelsey Harshman,15,0,0,51,45,5,9,0,0,1,3,6,0,9,1,1,0,12,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,98,68,21,0,7,0,89,0.2,0.294,0.267,0.561,,0.222,0.118,0.176,0.067,0.286,2.0,,,,,,,,,,,,1.0,89,8.173
softball,2021,4,12,Abby,Ramirez,Abby Ramirez,8,0,0,22,19,1,3,0,1,0,3,0,0,9,0,0,0,5,0,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,7,15,1,1,0,23,0.158,0.158,0.263,0.421,,0.105,0.0,0.409,0.105,0.3,,,,,,,,,,,,,0.957,23,7.615
softball,2021,4,14,Shelby,Pendley,Shelby Pendley,14,0,0,40,38,3,8,0,0,0,3,2,0,10,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,22,23,1,2,0,46,0.211,0.25,0.211,0.461,,0.053,0.05,0.25,0.0,0.286,,,,,,,,,,,,,0.978,46,5.704
softball,2021,4,19,Haylie,Wagner,Haylie Wagner,7,3,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,1,31.000999999999998,40,16,15,6,3,23,3,0,329,147,307,25,1,5,0,1,1,6,,,,,,,,,,,,4.355,,,,1.387,11.613,1.742,0.871,6.677,7.667,4.645,1.0,6,2.16
softball,2021,4,20,Taylor,McQuillin,Taylor McQuillin,6,5,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,30.333,29,17,17,5,15,23,3,1,302,228,335,26,2,6,0,0,0,8,,,,,,,,,,,,5.044,,,,1.451,8.604,1.484,4.451,6.824,1.533,5.044,1.0,8,2.769
softball,2021,4,21,Hannah,Flippen,Hannah Flippen,14,0,0,52,45,6,12,2,0,1,6,5,2,1,2,4,2,17,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,99,18,30,1,4,0,49,0.267,0.365,0.378,0.743,,0.222,0.096,0.019,0.111,0.302,2.0,,,,,,,,,,,,0.98,49,4.364
softball,2021,4,22,Caleigh,Clifton,Caleigh Clifton,15,0,0,51,42,5,13,4,0,2,6,8,0,5,0,0,0,23,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,97,20,25,0,4,0,45,0.31,0.42,0.548,0.968,,0.429,0.157,0.098,0.238,0.429,,,,,,,,,,,,,1.0,45,4.175
softball,2021,4,23,Gwen,Svekis,Gwen Svekis,0,0,0,52,49,8,17,5,0,4,9,3,0,2,0,0,0,34,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0.385,0.694,1.079,,0.408,0.058,0.038,0.347,0.488,,,,,,,,,,,,,,0,
softball,2021,4,24,Amanda,Sanchez,Amanda Sanchez,7,0,0,32,28,6,8,1,0,3,9,2,2,8,0,0,0,18,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,7,9,2,0,0,18,0.286,0.375,0.643,1.018,,0.429,0.062,0.25,0.357,0.647,,,,,,,,,,,,,0.889,18,3.429
softball,2021,4,27,Sahvanna,Jaquish,Sahvanna Jaquish,12,0,0,54,42,16,14,4,0,4,8,10,1,2,2,2,0,30,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,21,10,2,0,0,33,0.333,0.472,0.714,1.186,,0.667,0.185,0.037,0.381,0.5,2.0,,,,,,,,,,,,0.939,33,4.729
softball,2021,4,28,Haylie ,McCleney,Haylie  McCleney,9,0,0,51,45,14,17,3,0,1,6,4,0,6,0,1,1,23,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0,0,21,0.378,0.42,0.511,0.931,,0.2,0.078,0.118,0.133,0.462,,,,,,,,,,,,,1.0,21,2.953
softball,2021,4,29,Tori,Vidales,Tori Vidales,13,0,0,47,40,9,15,2,0,3,10,7,0,5,0,0,0,26,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,92,95,1,0,3,0,96,0.375,0.468,0.65,1.118,,0.45,0.149,0.106,0.275,0.562,,,,,,,,,,,,,1.0,96,9.391
softball,2021,4,30,Jessi,Warren,Jessi Warren,13,0,0,55,48,6,13,2,0,3,6,6,0,9,0,0,0,24,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,93,15,25,3,0,0,43,0.271,0.345,0.5,0.845,,0.354,0.109,0.164,0.229,0.432,,,,,,,,,,,,,0.93,43,3.871
softball,2021,4,31,Lilli,Piper,Lilli Piper,6,0,0,38,33,3,7,2,0,1,7,3,0,2,0,0,0,12,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,32,8,0,2,0,40,0.212,0.27,0.364,0.634,,0.242,0.079,0.053,0.152,0.258,,,,,,,,,,,,,1.0,40,12.0
softball,2021,4,32,DJ,Sanders,DJ Sanders,3,0,0,30,26,3,2,0,0,2,5,3,1,6,0,0,0,8,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,4,0.077,0.2,0.308,0.508,,0.346,0.1,0.2,0.231,0.222,,,,,,,,,,,,,0.75,4,2.077
softball,2021,4,33,Cat,Osterman,Cat Osterman,11,7,1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,3,4,1,60.001,31,23,15,5,26,50,4,3,777,368,588,59,1,22,1,1,1,24,,,,,,,,,,,,2.25,,,,0.95,4.65,0.75,3.9,7.5,1.923,3.45,0.958,24,3.508
softball,2021,4,34,Jordan,Roberts,Jordan Roberts,0,0,0,34,25,3,8,1,0,2,8,7,1,10,0,0,0,15,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.471,0.6,1.071,,0.56,0.206,0.294,0.28,0.714,,,,,,,,,,,,,,0,
softball,2021,4,36,Amanda,Chidester,Amanda Chidester,15,0,0,55,46,12,19,1,0,7,12,9,0,6,0,0,0,41,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,102,125,9,0,3,0,134,0.413,0.509,0.891,1.4,,0.674,0.164,0.109,0.478,0.788,,,,,,,,,,,,,1.0,134,11.824
softball,2021,4,37,Sam,Fischer,Sam Fischer,5,0,0,28,26,3,3,0,0,1,3,2,0,11,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,2,0,23,0.115,0.179,0.231,0.41,,0.192,0.071,0.393,0.115,0.286,,,,,,,,,,,,,1.0,23,7.962
softball,2021,4,38,Kelsey,Stewart,Kelsey Stewart,15,0,0,53,48,11,18,5,0,3,8,1,3,5,0,0,0,32,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,98,27,19,1,1,0,47,0.375,0.415,0.667,1.082,,0.312,0.019,0.094,0.292,0.512,,,,,,,,,,,,,0.979,47,4.224
softball,2021,4,39,Nadia,Taylor,Nadia Taylor,4,0,0,31,28,2,6,2,0,1,5,1,2,4,0,0,0,11,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,26,32,0,1,2,0,33,0.214,0.29,0.393,0.683,,0.214,0.032,0.129,0.179,0.304,,,,,,,,,,,,,0.97,33,11.077
softball,2021,4,40,Danielle,O'Toole,Danielle O'Toole,5,2,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,23.334,36,34,33,9,10,17,1,3,278,163,290,19,1,4,0,1,0,5,,,,,,,,,,,,12.728,,,,1.971,13.885,3.471,3.857,6.557,1.7,13.114,1.0,5,2.368
softball,2021,4,41,Aubree,Munro,Aubree Munro,0,0,0,26,26,2,4,1,0,0,2,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.154,0.192,0.346,,0.038,0.0,0.269,0.038,0.211,,,,,,,,,,,,,,0,
softball,2021,4,42,Erika,Piancastelli,Erika Piancastelli,2,0,0,56,43,9,11,2,0,3,10,10,2,4,0,0,0,22,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.256,0.418,0.512,0.93,,0.488,0.179,0.071,0.256,0.389,,,,,,,,,,,,,1.0,2,inf
softball,2021,4,44,Jessica,Burroughs,Jessica Burroughs,3,1,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,16.333,12,9,9,3,7,9,1,1,142,90,137,6,0,2,0,0,0,2,,,,,,,,,,,,4.959,,,,1.163,6.612,1.653,3.857,4.959,1.286,4.959,1.0,2,3.0
