sport,season,seasonId,team_id,G,sets_played,kills,attack_errors,attack_attempts,assists,setting_errors,service_errors,service_aces,total_reception_attempts,reception_errors,digs,blocks,au_total_points,kills_per_set,attack_percentage,assists_per_set,service_aces_per_set,digs_per_set,blocks_per_set
volleyball,2021,3,26,3,72,130,54,342,120,0,10,20,203,3,158,20,3084,1.806,0.222,1.667,0.278,2.194,0.278
volleyball,2021,3,27,3,76,127,42,312,120,2,5,19,188,7,152,26,5008,1.671,0.272,1.579,0.25,2.0,0.342
volleyball,2021,3,28,3,74,128,33,310,116,0,14,11,185,7,140,18,4914,1.73,0.306,1.568,0.149,1.892,0.243
volleyball,2021,3,29,3,77,132,37,316,114,0,8,12,165,14,141,19,6187,1.714,0.301,1.481,0.156,1.831,0.247
volleyball,2021,3,30,3,66,136,48,372,131,0,8,9,194,7,177,21,5232,2.061,0.237,1.985,0.136,2.682,0.318
volleyball,2021,3,31,3,73,131,56,349,122,1,7,9,203,10,151,17,2517,1.795,0.215,1.671,0.123,2.068,0.233
volleyball,2021,3,32,3,72,125,39,330,112,0,11,13,180,7,152,30,5026,1.736,0.261,1.556,0.181,2.111,0.417
volleyball,2021,3,33,3,76,136,36,334,124,0,8,18,168,8,164,30,6872,1.789,0.299,1.632,0.237,2.158,0.395
volleyball,2021,3,34,3,73,148,50,412,137,0,11,23,191,7,195,18,5722,2.027,0.238,1.877,0.315,2.671,0.247
volleyball,2021,3,35,3,75,148,33,322,139,1,16,10,166,8,155,22,7950,1.973,0.357,1.853,0.133,2.067,0.293
volleyball,2021,3,36,3,69,124,44,383,110,1,6,13,196,13,160,24,4196,1.797,0.209,1.594,0.188,2.319,0.348
volleyball,2021,3,37,3,77,117,51,352,110,0,9,7,204,9,137,21,2013,1.519,0.188,1.429,0.091,1.779,0.273
volleyball,2021,3,38,3,68,119,31,353,109,0,9,13,188,7,161,17,4360,1.75,0.249,1.603,0.191,2.368,0.25
volleyball,2021,3,39,3,70,152,50,369,140,1,12,10,158,5,166,26,7922,2.171,0.276,2.0,0.143,2.371,0.371
volleyball,2021,3,40,3,81,144,43,355,130,0,10,17,183,9,161,20,6063,1.778,0.285,1.605,0.21,1.988,0.247
volleyball,2021,3,41,3,73,104,41,343,97,2,3,16,202,11,137,23,1362,1.425,0.184,1.329,0.219,1.877,0.315
volleyball,2021,3,42,3,76,129,45,378,117,1,8,12,182,6,163,28,4930,1.697,0.222,1.539,0.158,2.145,0.368
volleyball,2021,3,43,3,68,113,47,349,99,0,10,14,187,8,153,27,3692,1.662,0.189,1.456,0.206,2.25,0.397
volleyball,2021,3,44,3,76,131,51,368,120,1,6,23,195,12,156,20,3604,1.724,0.217,1.579,0.303,2.053,0.263
volleyball,2021,3,45,3,80,151,47,402,138,0,7,16,185,6,180,26,7496,1.888,0.259,1.725,0.2,2.25,0.325
