season,game_id,game_number,play_seq_num,narrative_formatted,start_time,end_time,set_number,set_status_lk,rally_number,play_code,play_text,player_id,serve_ace,serve_error,serve_continue,attack_kill,attack_error,attack_continue,pass_good,pass_error,pass_continue,dig_dig,dig_continue,block_continue,block_stuff,set_assist,set_error,set_continue,home_team_id,home_team_score,away_team_id,away_team_Score,scoring_team_id
2021,31,1,7,,2234.8629893937,2235.8629893937,1,In Progress,1,Point Team B,Play 7 - None - Point Team B - None - 2234.8629893937,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,0,29,1,
2021,31,1,20,,2276.4649716807,2277.4649716807,1,In Progress,2,Point Team A,Play 20 - None - Point Team A - None - 2276.4649716807,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,1,29,1,
2021,31,1,29,,2334.5315455173,2335.5315455173,1,In Progress,3,Point Team B,Play 29 - None - Point Team B - None - 2334.5315455173,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,1,29,2,
2021,31,1,38,,2368.8648305447,2369.8648305447,1,In Progress,4,Point Team A,Play 38 - None - Point Team A - None - 2368.8648305447,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,2,29,2,
2021,31,1,43,,2379.9315672373,2380.9315672373,1,In Progress,5,Point Team B,Play 43 - None - Point Team B - None - 2379.9315672373,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,2,29,3,
2021,31,1,49,,2405.1315097083,2406.1315097083,1,In Progress,6,Point Team A,Play 49 - None - Point Team A - None - 2405.1315097083,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,3,29,3,
2021,31,1,54,,2430.998300173,2431.998300173,1,In Progress,7,Point Team B,Play 54 - None - Point Team B - None - 2430.998300173,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,3,29,4,
2021,31,1,63,,2463.797143633,2464.797143633,1,In Progress,8,Point Team B,Play 63 - None - Point Team B - None - 2463.797143633,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,3,29,5,
2021,31,1,71,,2495.9316882003,2496.9316882003,1,In Progress,9,Point Team B,Play 71 - None - Point Team B - None - 2495.9316882003,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,3,29,6,
2021,31,1,76,,2529.1315244683,2530.1315244683,1,In Progress,10,Point Team B,Play 76 - None - Point Team B - None - 2529.1315244683,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,27,3,29,7,
