sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Team,306,0,2023,73,1,1,Championship,,,None,,,None,None,None None,,227,38,90,0.422,10,24,0.417,28,66,0.424,10,11,0.909,14,35,49,24,9,0,16,96,4205,0.478,0.506,5,4,6,7,2,0,,,138.5
basketball,v1,Team,305,1,2023,73,1,1,Championship,,,None,,,None,None,None None,,225,40,85,0.471,6,34,0.176,34,51,0.667,7,11,0.636,7,31,38,23,10,4,12,93,1429,0.506,0.518,4,5,7,6,0,2,,,299.49999999999994
basketball,v1,Team,304,0,2023,73,1,2,Championship,,,None,,,None,None,None None,,200,29,63,0.46,3,17,0.176,26,46,0.565,17,23,0.739,8,30,38,14,10,2,17,78,3458,0.484,0.533,8,9,8,12,1,1,,,163.14
basketball,v1,Team,307,1,2023,73,1,2,Championship,,,None,,,None,None,None None,,200,28,77,0.364,7,25,0.28,21,52,0.404,9,19,0.474,22,25,47,13,11,2,19,72,1653,0.409,0.422,9,8,12,8,1,1,,,173.85999999999996
basketball,v1,Team,307,0,2023,73,1,3,Championship,,,None,,,None,None,None None,,199,34,88,0.386,11,29,0.379,23,59,0.39,16,18,0.889,17,13,30,20,8,4,6,95,1479,0.449,0.495,5,6,2,4,0,0,,,311.28
basketball,v1,Team,305,1,2023,73,1,3,Championship,,,None,,,None,None,None None,,199,47,77,0.61,17,30,0.567,30,47,0.638,9,12,0.75,11,33,44,30,5,7,15,120,4783,0.721,0.729,6,5,4,2,0,0,,,428.71
basketball,v1,Team,306,0,2023,73,1,4,Championship,,,None,,,None,None,None None,,200,28,66,0.424,5,17,0.294,23,49,0.469,14,18,0.778,11,29,40,17,7,2,15,75,3545,0.462,0.507,6,7,2,4,0,0,,,168.78
basketball,v1,Team,304,1,2023,73,1,4,Championship,,,None,,,None,None,None None,,200,24,70,0.343,8,25,0.32,16,45,0.356,11,13,0.846,9,27,36,10,8,5,11,67,1639,0.4,0.442,7,6,4,2,0,0,,,264.09999999999997
basketball,v1,Team,307,0,2023,73,1,5,Championship,,,None,,,None,None,None None,,199,29,77,0.377,4,21,0.19,25,56,0.446,13,15,0.867,14,30,44,16,6,5,15,75,1134,0.403,0.449,7,7,3,4,3,1,,,294.25
basketball,v1,Team,306,1,2023,73,1,5,Championship,,,None,,,None,None,None None,,200,36,76,0.474,6,17,0.353,30,59,0.508,11,14,0.786,7,30,37,24,10,5,12,89,4390,0.513,0.542,7,7,4,3,1,3,,,315.5
basketball,v1,Team,305,0,2023,73,1,6,Championship,,,None,,,None,None,None None,,200,33,85,0.388,8,30,0.267,25,55,0.455,17,17,1.0,19,31,50,19,6,5,10,91,4937,0.435,0.492,8,9,3,2,0,2,,,343.15000000000003
basketball,v1,Team,304,1,2023,73,1,6,Championship,,,None,,,None,None,None None,,200,23,73,0.315,3,22,0.136,20,51,0.392,17,19,0.895,14,24,38,10,5,4,14,66,374,0.336,0.406,9,8,2,3,2,0,,,231.67999999999995
basketball,v1,Team,310,0,2023,73,2,7,Championship,,,None,,,None,None,None None,,200,25,62,0.403,8,22,0.364,17,40,0.425,28,40,0.7,9,30,39,18,7,2,13,86,4156,0.468,0.54,10,19,6,6,1,1,,,171.45999999999998
basketball,v1,Team,309,1,2023,73,2,7,Championship,,,None,,,None,None,None None,,200,31,80,0.388,4,21,0.19,27,59,0.458,18,21,0.857,17,30,47,22,7,2,12,84,1266,0.412,0.471,19,10,6,6,1,1,,,202.50000000000003
basketball,v1,Team,308,0,2023,73,2,8,Championship,,,None,,,None,None,None None,,200,33,73,0.452,9,21,0.429,24,52,0.462,15,21,0.714,4,26,30,19,11,2,9,90,3642,0.514,0.547,11,9,7,9,4,1,,,195.43999999999997
basketball,v1,Team,311,1,2023,73,2,8,Championship,,,None,,,None,None,None None,,200,27,64,0.422,6,21,0.286,21,43,0.488,24,29,0.828,5,35,40,22,3,3,15,84,1819,0.469,0.547,9,11,9,7,1,4,,,200.67999999999998
basketball,v1,Team,311,0,2023,73,2,9,Championship,,,None,,,None,None,None None,,201,35,76,0.461,5,17,0.294,30,59,0.508,12,16,0.75,11,33,44,23,7,2,11,87,4887,0.493,0.524,10,7,2,7,1,1,,,202.78
basketball,v1,Team,309,1,2023,73,2,9,Championship,,,None,,,None,None,None None,,199,26,66,0.394,4,14,0.286,22,52,0.423,20,25,0.8,8,25,33,14,5,2,9,76,563,0.424,0.494,7,10,7,2,1,1,,,165.17999999999998
basketball,v1,Team,310,0,2023,73,2,10,Championship,,,None,,,None,None,None None,,200,32,72,0.444,6,21,0.286,26,51,0.51,17,27,0.63,14,22,36,13,9,3,14,87,1262,0.486,0.519,13,14,4,6,0,1,,,220.53999999999996
basketball,v1,Team,308,1,2023,73,2,10,Championship,,,None,,,None,None,None None,,200,32,68,0.471,8,21,0.381,24,47,0.511,21,27,0.778,9,31,40,18,11,3,12,93,4297,0.529,0.582,14,13,6,4,1,0,,,228.1599999999999
basketball,v1,Team,311,0,2023,73,2,11,Championship,,,None,,,None,None,None None,,200,35,70,0.5,9,20,0.45,26,50,0.52,13,14,0.929,12,21,33,24,3,6,13,92,2023,0.564,0.604,9,5,8,8,1,1,,,329.7
basketball,v1,Team,310,1,2023,73,2,11,Championship,,,None,,,None,None,None None,,200,35,73,0.479,5,23,0.217,30,50,0.6,20,20,1.0,13,17,30,13,9,5,8,95,3831,0.514,0.581,5,9,8,8,1,1,,,308.95
basketball,v1,Team,309,0,2023,73,2,12,Championship,,,None,,,None,None,None None,,225,43,80,0.538,5,15,0.333,38,65,0.585,18,23,0.783,6,31,37,26,9,4,16,109,4200,0.569,0.605,12,10,6,7,1,1,,,303.3
basketball,v1,Team,308,1,2023,73,2,12,Championship,,,None,,,None,None,None None,,225,39,83,0.47,7,20,0.35,32,63,0.508,22,26,0.846,10,29,39,18,12,3,16,107,1381,0.512,0.566,10,12,7,6,1,1,,,264.50999999999993
basketball,v1,Team,314,0,2023,73,3,13,Championship,,,None,,,None,None,None None,,200,30,65,0.462,13,25,0.52,17,40,0.425,13,19,0.684,7,20,27,18,11,0,15,86,1328,0.562,0.586,6,10,4,4,3,0,,,113.5
basketball,v1,Team,313,1,2023,73,3,13,Championship,,,None,,,None,None,None None,,200,35,67,0.522,11,25,0.44,24,42,0.571,7,11,0.636,9,27,36,19,9,8,17,88,4269,0.604,0.612,10,6,4,4,0,3,,,381.13999999999993
basketball,v1,Team,312,0,2023,73,3,14,Championship,,,None,,,None,None,None None,,200,39,77,0.506,8,20,0.4,31,57,0.544,11,15,0.733,10,31,41,21,6,4,12,97,4371,0.558,0.58,9,8,5,7,0,1,,,284.91999999999996
basketball,v1,Team,315,1,2023,73,3,14,Championship,,,None,,,None,None,None None,,200,30,76,0.395,9,25,0.36,21,51,0.412,16,18,0.889,11,22,33,19,5,3,10,85,1290,0.454,0.506,8,9,7,5,1,0,,,227.71999999999994
basketball,v1,Team,315,0,2023,73,3,15,Championship,,,None,,,None,None,None None,,200,28,65,0.431,5,11,0.455,23,54,0.426,22,26,0.846,4,30,34,17,10,3,11,83,1268,0.469,0.543,9,11,13,5,0,0,,,205.65
basketball,v1,Team,313,1,2023,73,3,15,Championship,,,None,,,None,None,None None,,200,36,84,0.429,12,32,0.375,24,52,0.462,17,20,0.85,16,29,45,23,10,4,14,101,4445,0.5,0.544,11,9,5,13,0,0,,,308.84
basketball,v1,Team,314,0,2023,73,3,16,Championship,,,None,,,None,None,None None,,225,35,81,0.432,10,28,0.357,25,53,0.472,11,12,0.917,8,36,44,20,7,7,17,91,2974,0.494,0.527,13,6,0,6,0,0,,,402.8299999999999
basketball,v1,Team,312,1,2023,73,3,16,Championship,,,None,,,None,None,None None,,225,29,83,0.349,5,21,0.238,24,62,0.387,22,26,0.846,14,32,46,15,13,2,12,85,2350,0.38,0.45,6,13,6,0,0,0,,,204.83999999999997
basketball,v1,Team,315,0,2023,73,3,17,Championship,,,None,,,None,None,None None,,200,39,69,0.565,11,24,0.458,28,45,0.622,7,9,0.778,5,26,31,19,7,3,19,96,1962,0.645,0.658,11,5,3,3,2,3,,,223.62999999999997
basketball,v1,Team,314,1,2023,73,3,17,Championship,,,None,,,None,None,None None,,199,36,72,0.5,11,31,0.355,25,41,0.61,20,22,0.909,10,22,32,18,15,1,11,103,3950,0.576,0.631,5,11,3,3,3,2,,,180.88
basketball,v1,Team,313,0,2023,73,3,18,Championship,,,None,,,None,None,None None,,200,31,77,0.403,5,20,0.25,26,57,0.456,18,26,0.692,22,25,47,12,7,3,13,85,1861,0.435,0.481,6,11,6,4,1,1,,,230.29
basketball,v1,Team,312,1,2023,73,3,18,Championship,,,None,,,None,None,None None,,200,34,76,0.447,10,24,0.417,24,52,0.462,13,17,0.765,13,26,39,17,9,3,10,91,3690,0.513,0.545,11,6,4,6,1,1,,,240.92
basketball,v1,Team,318,0,2023,73,4,19,Championship,,,None,,,None,None,None None,,200,35,78,0.449,7,22,0.318,28,56,0.5,13,14,0.929,9,29,38,24,7,2,10,90,1987,0.494,0.535,5,9,10,4,1,2,,,204.84
basketball,v1,Team,317,1,2023,73,4,19,Championship,,,None,,,None,None,None None,,200,37,73,0.507,12,25,0.48,25,48,0.521,7,12,0.583,6,31,37,25,5,0,14,93,3727,0.589,0.594,9,5,4,10,2,1,,,126.20000000000002
basketball,v1,Team,316,0,2023,73,4,20,Championship,,,None,,,None,None,None None,,199,32,63,0.508,5,14,0.357,27,49,0.551,11,12,0.917,2,35,37,19,10,6,19,80,4219,0.548,0.586,12,4,5,10,1,0,,,291.81999999999994
basketball,v1,Team,319,1,2023,73,4,20,Championship,,,None,,,None,None,None None,,199,25,71,0.352,1,20,0.05,24,51,0.471,21,25,0.84,9,25,34,12,13,6,11,72,1099,0.359,0.439,4,12,10,5,0,1,,,309.3399999999999
basketball,v1,Team,319,0,2023,73,4,21,Championship,,,None,,,None,None,None None,,200,34,71,0.479,7,19,0.368,27,52,0.519,19,21,0.905,11,31,42,17,8,3,9,94,3661,0.528,0.586,10,10,1,2,0,2,,,238.66999999999996
