sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Player,88,0,2022,6,1,1,Championship,235,88,88,GD,,Briahanna,Jackson,Briahanna Jackson,1,27,6,15,0.4,1,7,0.143,5,8,0.625,2,2,1.0,1,3,4,2,2,1,5,15,131,0.433,0.472,2,1,1,0,0,2,0,0,24.349999999999994
basketball,v1,Player,88,0,2022,6,1,1,Championship,237,17,17,GDFD,,Becca,Wann-Taylor,Becca Wann-Taylor,1,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,42,,,1,0,0,0,0,0,0,0,0.0
basketball,v1,Player,88,0,2022,6,1,1,Championship,243,8,8,CTR,,Drew,Edelman,Drew Edelman,1,16,3,4,0.75,0,0,,3,4,0.75,0,0,,6,2,8,0,0,1,0,6,176,0.75,0.75,0,0,1,1,0,0,0,0,13.559999999999997
basketball,v1,Player,88,0,2022,6,1,1,Championship,244,24,24,CTR,,Kalani,Brown,Kalani Brown,1,22,4,6,0.667,0,0,,4,6,0.667,0,0,,1,2,3,1,2,0,1,8,106,0.667,0.667,2,0,2,1,1,0,0,0,11.799999999999997
basketball,v1,Player,88,0,2022,6,1,1,Championship,247,35,35,GD,,Tina,Roy,Tina Roy,1,8,0,3,0.0,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,15,0.0,0.0,0,0,0,0,0,0,0,0,-0.7
basketball,v1,Player,88,0,2022,6,1,1,Championship,224,12,12,FWD,,Kiki,Harrigan,Kiki Harrigan,1,36,2,8,0.25,1,3,0.333,1,5,0.2,0,0,,0,4,4,0,0,2,1,5,46,0.312,0.312,3,0,0,0,0,0,0,0,13.84
basketball,v1,Player,88,0,2022,6,1,1,Championship,210,5,5,GD,,Essence,Carson,Essence Carson,1,28,6,16,0.375,0,1,0.0,6,15,0.4,3,3,1.0,1,5,6,0,0,1,2,15,133,0.375,0.433,2,0,0,2,0,2,0,0,25.439999999999998
basketball,v1,Player,88,0,2022,6,1,1,Championship,256,36,36,GD,,Grace,Hunter,Grace Hunter,1,6,1,2,0.5,1,1,1.0,0,1,0.0,0,0,,1,1,2,0,0,0,1,3,67,0.75,0.75,1,0,0,0,0,0,0,0,3.3999999999999995
basketball,v1,Player,88,0,2022,6,1,1,Championship,215,20,20,GD,,Kirby,Burkholder,Kirby Burkholder,1,21,2,5,0.4,1,4,0.25,1,1,1.0,0,0,,0,2,2,2,1,0,2,5,82,0.5,0.5,1,0,0,0,0,0,0,0,6.799999999999999
basketball,v1,Player,88,0,2022,6,1,1,Championship,211,99,99,GD,,Odyssey,Sims,Odyssey Sims,1,34,5,15,0.333,1,4,0.25,4,11,0.364,3,5,0.6,1,2,3,4,2,0,5,14,68,0.367,0.407,1,2,0,0,2,0,0,0,16.3
basketball,v1,Player,87,1,2022,6,1,1,Championship,233,54,54,CTR,,Nikki,Greene,Nikki Greene,1,9,1,1,1.0,0,0,,1,1,1.0,0,0,,0,0,0,0,0,0,1,2,236,1.0,1.0,1,0,0,0,1,0,0,0,1.4
basketball,v1,Player,87,1,2022,6,1,1,Championship,234,25,25,FWD,,Lauren,Manis,Lauren Manis,1,19,3,8,0.375,0,3,0.0,3,5,0.6,2,2,1.0,2,5,7,2,1,0,2,8,331,0.375,0.45,0,1,1,0,0,0,0,0,12.1
basketball,v1,Player,87,1,2022,6,1,1,Championship,240,4,4,GD,,Lexie,Brown,Lexie Brown,1,39,5,9,0.556,0,2,0.0,5,7,0.714,9,10,0.9,0,6,6,0,5,0,2,19,534,0.556,0.709,0,6,0,0,0,0,0,0,25.400000000000002
basketball,v1,Player,87,1,2022,6,1,1,Championship,238,14,14,GD,,Taj,Cole,Taj Cole,1,37,8,22,0.364,3,10,0.3,5,12,0.417,2,2,1.0,1,7,8,4,4,0,5,21,489,0.432,0.459,1,1,0,2,1,2,0,0,28.799999999999997
basketball,v1,Player,87,1,2022,6,1,1,Championship,245,33,33,GDFD,,Antoinette,Bannister,Antoinette Bannister,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,250,,,0,0,0,0,0,0,0,0,0.0
basketball,v1,Player,87,1,2022,6,1,1,Championship,231,13,13,CTR,,Mercedes,Russell,Mercedes Russell,1,37,4,10,0.4,0,0,,4,10,0.4,2,6,0.333,3,8,11,2,2,0,3,10,348,0.4,0.396,0,3,3,2,1,1,1,0,13.699999999999996
basketball,v1,Player,87,1,2022,6,1,1,Championship,250,73,73,FWD,,Danni,McCray,Danni McCray,1,25,5,10,0.5,0,1,0.0,5,9,0.556,1,1,1.0,9,3,12,0,0,0,0,11,411,0.5,0.527,1,1,0,0,0,0,1,0,20.2
basketball,v1,Player,87,1,2022,6,1,1,Championship,208,23,23,GD,,Laurin,Mincy,Laurin Mincy,1,34,4,12,0.333,0,6,0.0,4,6,0.667,1,2,0.5,2,3,5,2,0,0,3,9,263,0.333,0.349,0,1,0,0,1,0,0,0,10.9
basketball,v1,Player,87,1,2022,6,1,1,Championship,255,37,37,FWD,,Chelsea,Phillips,Chelsea Phillips,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,250,,,0,0,0,0,0,0,0,0,0.0
basketball,v1,Player,87,1,2022,6,1,1,Championship,249,63,63,GD,,CC,Andrews,CC Andrews,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,250,,,0,0,0,0,0,0,0,0,0.0
basketball,v1,Player,87,1,2022,6,1,1,Championship,236,22,22,FWD,,Takoia,Larry,Takoia Larry,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,250,,,0,0,0,0,0,0,0,0,0.0
basketball,v1,Player,86,0,2022,6,1,2,Championship,214,21,21,FWD,,Tianna,Hawkins,Tianna Hawkins,1,29,7,12,0.583,3,5,0.6,4,7,0.571,1,2,0.5,2,3,5,0,0,0,3,18,163,0.708,0.699,1,1,2,0,0,1,0,0,18.9
basketball,v1,Player,86,0,2022,6,1,2,Championship,227,34,34,CTR,,Imani,McGee-Stafford,Imani McGee-Stafford,1,28,1,3,0.333,0,0,,1,3,0.333,3,4,0.75,2,9,11,2,0,1,0,5,149,0.333,0.525,3,1,0,1,0,0,0,0,11.97
basketball,v1,Player,86,0,2022,6,1,2,Championship,209,30,30,FWD,,Jessica,Kuster,Jessica Kuster,1,18,3,6,0.5,0,1,0.0,3,5,0.6,0,0,,0,6,6,0,0,2,0,6,122,0.5,0.5,1,0,0,0,0,0,0,0,14.879999999999999
basketball,v1,Player,86,0,2022,6,1,2,Championship,242,26,26,GDFD,,Danielle L.,McCray,Danielle L. McCray,1,20,4,10,0.4,0,0,,4,10,0.4,0,1,0.0,2,2,4,0,1,0,0,8,100,0.4,0.383,1,1,0,1,0,0,0,0,12.2
basketball,v1,Player,86,0,2022,6,1,2,Championship,246,69,69,GD,,Antoinette,Thompson,Antoinette Thompson,1,2,1,1,1.0,0,0,,1,1,1.0,0,0,,0,0,0,0,0,0,1,2,60,1.0,1.0,0,0,0,0,0,0,0,0,1.4
basketball,v1,Player,86,0,2022,6,1,2,Championship,225,15,15,GD,,Rebecca,Harris,Rebecca Harris,1,25,3,7,0.429,0,2,0.0,3,5,0.6,0,0,,1,3,4,2,0,0,2,6,99,0.429,0.429,0,0,0,1,0,0,0,0,8.200000000000001
basketball,v1,Player,86,0,2022,6,1,2,Championship,206,51,51,GD,,Sydney,Colson,Sydney Colson,1,31,5,10,0.5,2,5,0.4,3,5,0.6,3,3,1.0,0,0,0,6,3,0,2,15,204,0.6,0.663,2,2,1,0,0,0,0,0,21.8
