sport,api_version,type,teamId,homeTeamFlg,season,season_id,week_number,game_number,season_type,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,TS%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles,GmSc
basketball,v1,Player,306,0,2023,73,1,1,Championship,216,10,10,GD,,Courtney,Williams,Courtney Williams,1,38,6,17,0.353,2,5,0.4,4,12,0.333,0,0,,1,6,7,5,2,0,5,14,347,0.412,0.412,1,0,0,0,0,0,0,0,19.4
basketball,v1,Player,306,0,2023,73,1,1,Championship,251,75,75,GD,,Air,Hearn,Air Hearn,1,18,2,10,0.2,0,3,0.0,2,7,0.286,0,0,,2,3,5,4,2,0,1,4,332,0.2,0.2,1,0,0,0,0,0,0,0,10.899999999999999
basketball,v1,Player,306,0,2023,73,1,1,Championship,625,26,26,FWD,,Lydia,Rivers,Lydia Rivers,1,5,0,0,,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,310,,,0,0,0,0,0,0,0,0,0.7
basketball,v1,Player,306,0,2023,73,1,1,Championship,558,25,25,GD,,Layshia,Clarendon,Layshia Clarendon,1,27,2,8,0.25,0,1,0.0,2,7,0.286,6,6,1.0,0,3,3,3,1,0,4,10,346,0.25,0.47,1,1,0,3,0,0,0,0,10.8
basketball,v1,Player,306,0,2023,73,1,1,Championship,560,16,16,FWD,,Naz,Hillmon,Naz Hillmon,1,27,3,7,0.429,0,0,,3,7,0.429,1,2,0.5,3,5,8,3,1,0,0,7,397,0.429,0.444,0,1,3,1,0,0,0,0,13.299999999999997
basketball,v1,Player,306,0,2023,73,1,1,Championship,249,63,63,GD,,CC,Andrews,CC Andrews,1,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,292,,,0,0,1,0,0,0,0,0,-0.4
basketball,v1,Player,306,0,2023,73,1,1,Championship,561,31,31,FWD,,N'dea,Jones,N'dea Jones,1,10,3,3,1.0,0,0,,3,3,1.0,0,0,,1,3,4,0,0,0,2,6,333,1.0,1.0,0,0,0,0,2,0,0,0,6.800000000000001
basketball,v1,Player,306,0,2023,73,1,1,Championship,622,55,55,FWD,,Theresa,Plaisance,Theresa Plaisance,1,23,7,11,0.636,4,5,0.8,3,6,0.5,0,0,,1,4,5,1,3,0,1,18,580,0.818,0.818,1,0,2,1,0,0,0,0,24.599999999999998
basketball,v1,Player,306,0,2023,73,1,1,Championship,226,2,2,FWD,,Isabelle,Harrison,Isabelle Harrison,1,28,10,17,0.588,0,1,0.0,10,16,0.625,3,3,1.0,1,7,8,3,0,0,2,23,544,0.588,0.628,1,2,0,1,0,0,0,0,29.9
basketball,v1,Player,306,0,2023,73,1,1,Championship,565,22,22,GD,,Evina,Westbrook,Evina Westbrook,1,38,3,8,0.375,3,4,0.75,0,4,0.0,0,0,,2,3,5,3,0,0,1,9,395,0.562,0.562,0,0,0,0,0,0,0,0,13.6
basketball,v1,Player,306,0,2023,73,1,1,Championship,225,30,15,GD,,Rebecca,Harris,Rebecca Harris,1,11,2,9,0.222,1,5,0.2,1,4,0.25,0,0,,2,1,3,2,0,0,0,5,329,0.278,0.278,0,0,0,1,0,0,0,0,8.899999999999999
basketball,v1,Player,305,1,2023,73,1,1,Championship,211,99,99,GD,,Odyssey,Sims,Odyssey Sims,1,43,12,28,0.429,0,5,0.0,12,23,0.522,6,8,0.75,0,5,5,12,5,0,7,30,317,0.429,0.476,1,5,1,1,0,1,1,0,41.5
basketball,v1,Player,305,1,2023,73,1,1,Championship,215,20,20,GD,,Kirby,Burkholder,Kirby Burkholder,1,5,0,0,,0,0,,0,0,,0,0,,1,1,2,2,0,0,0,0,77,,,1,0,0,0,0,0,0,0,2.4
basketball,v1,Player,305,1,2023,73,1,1,Championship,564,0,00,FWD,,NaLyssa,Smith,NaLyssa Smith,1,39,10,15,0.667,1,4,0.25,9,11,0.818,0,2,0.0,2,8,10,1,1,1,1,21,261,0.7,0.661,1,0,0,1,0,0,1,0,36.05
basketball,v1,Player,305,1,2023,73,1,1,Championship,250,3,3,FWD,,Danni,McCray,Danni McCray,1,9,0,0,,0,0,,0,0,,0,0,,1,2,3,0,0,0,0,0,70,,,0,0,0,0,0,0,0,0,1.2999999999999998
