sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2022,17,1,1,Championship,224,102,18,18,MIDF,DRWSP,Taylor,VanThof,Taylor VanThof,4,0,0,0,3,0,0,0,0.0,0,0,0.33,1,1,,,1,0,16,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,156,83,83,DEF,,Kristen,Carr,Kristen Carr,4,0,0,0,0,3,1,2,0.0,0,1,0.0,0,0,,,1,0,12,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,186,0,00,GOAL,,Kady,Glynn,Kady Glynn,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,48,1,0,6,6,0.5,12,1,0
lacrosse,v1,2022,17,1,1,Championship,224,395,21,21,MIDF,,Ally,Mastroianni,Ally Mastroianni,4,3,1,4,6,0,1,2,0.5,0,1,0.67,1,4,,,1,0,89,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,95,13,13,ATT,DRWSP,Sammy Jo,Tracy,Sammy Jo Tracy,4,2,1,3,3,1,0,0,0.67,0,1,0.67,0,2,,,1,0,40,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,185,2,2,ATT,,Izzy,McMahon,Izzy McMahon,4,0,0,0,3,0,0,0,0.0,0,0,0.67,2,2,,,1,0,14,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,183,31,31,DEF,,Kyra,Pelton,Kyra Pelton,4,0,0,0,0,0,1,1,0.0,0,1,0.0,0,0,,,1,0,34,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,392,99,99,GOAL,,Paulina,DiFatta,Paulina DiFatta,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,23,1,1,7,2,0.22,9,1,0
lacrosse,v1,2022,17,1,1,Championship,224,398,24,24,DEF,,Ally,Palermo,Ally Palermo,4,0,0,0,0,1,0,1,0.0,0,0,0.0,0,0,,,1,0,12,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,491,32,32,MIDF,,Kelsey,Huff,Kelsey Huff,4,1,0,1,6,0,0,0,0.17,0,2,0.67,3,4,,,1,0,28,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,179,45,45,DEF,,Kayla,Wood,Kayla Wood,4,0,0,0,0,0,1,2,0.0,0,1,0.0,0,0,,,1,0,36,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,101,37,37,ATT,,Halle,Majorana,Halle Majorana,4,3,0,3,5,3,0,1,0.6,0,0,0.8,1,4,,,1,0,30,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,181,46,46,MIDF,,Lindsey,McKone,Lindsey McKone,4,0,2,2,0,1,0,2,0.0,0,5,0.0,0,0,,,1,0,32,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,224,403,39,39,ATT,,Jamie,Ortega,Jamie Ortega,4,1,1,2,1,3,0,0,1.0,0,1,1.0,0,1,,,1,0,12,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,105,8,8,DEF,,Katrina,Geiger,Katrina Geiger,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,,,0,1,107,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,405,91,91,DEF,,Emma,Trenchard,Emma Trenchard,4,0,0,0,0,0,1,2,0.0,0,0,0.0,0,0,,,0,1,123,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,394,20,20,DEF,,Courtney,Taylor,Courtney Taylor,4,0,0,0,0,0,1,1,0.0,0,0,0.0,0,0,,,0,1,121,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,173,47,47,MIDF,,Alyssa,Parrella,Alyssa Parrella,4,1,0,1,1,0,0,0,1.0,0,1,1.0,0,1,,,0,1,121,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,490,38,38,ATT,,Sam,Geiersbach,Sam Geiersbach,4,1,2,3,2,2,0,0,0.5,0,0,1.0,1,2,,,0,1,109,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,100,22,22,MIDF,DRWSP,Haley,Warden,Haley Warden,4,1,1,2,1,1,1,0,1.0,0,4,1.0,0,1,,,0,1,135,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,393,77,77,GOAL,,Taylor,Moreno,Taylor Moreno,4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,140,1,1,5,6,0.55,11,0,1
lacrosse,v1,2022,17,1,1,Championship,223,193,7,7,MIDF,,Amanda,Johansen,Amanda Johansen,4,1,0,2,4,0,2,3,0.25,1,6,0.75,2,3,,,0,1,157,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,300,35,35,DEF,,Lizzie,Colson,Lizzie Colson,4,0,1,1,0,4,2,1,0.0,0,0,0.0,0,0,,,0,1,105,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,406,3,3,ATT,,Lauren,Gilbert,Lauren Gilbert,4,4,0,4,6,1,0,1,0.67,0,0,0.83,1,5,,,0,1,192,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,130,14,14,ATT,,Sam,Apuzzo,Sam Apuzzo,4,2,4,6,5,1,1,1,0.4,0,0,0.6,1,3,,,0,1,181,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,404,52,52,GOAL,,Molly,Dougherty,Molly Dougherty,4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0,0,1,116,1,0,5,2,0.29,7,0,1
lacrosse,v1,2022,17,1,1,Championship,223,182,28,28,ATT,,Nicole,Levy,Nicole Levy,4,2,0,2,3,2,0,0,0.67,0,0,1.0,1,3,,,0,1,113,,,,,,,,
lacrosse,v1,2022,17,1,1,Championship,223,138,11,11,MIDF,,Dempsey,Arsenault,Dempsey Arsenault,4,1,0,1,3,1,1,3,0.33,0,3,1.0,2,3,,,0,1,131,,,,,,,,
lacrosse,v1,2022,17,1,2,Championship,222,400,12,12,MIDF,,Grace,Griffin,Grace Griffin,4,1,0,1,2,2,1,2,0.5,0,2,0.5,0,1,,,3,2,54,,,,,,,,
lacrosse,v1,2022,17,1,2,Championship,222,177,23,23,DEF,,Caroline,Wakefield,Caroline Wakefield,4,0,0,0,0,1,2,1,0.0,0,0,0.0,0,0,,,3,2,56,,,,,,,,
lacrosse,v1,2022,17,1,2,Championship,222,401,54,54,DEF,,Sarah,Cooper,Sarah Cooper,4,0,0,0,0,0,0,2,0.0,0,0,0.0,0,0,,,3,2,42,,,,,,,,
