sport,api_version,season,seasonId,weekNumber,gameNumber,seasonType,teamId,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,periodsPlayed,goals,assists,points,shots,turnovers,causedTurnovers,groundballs,shotPct,twoPointGoals,drawControls,sogPct,shotsSaved,shotsOnGoal,yellowCards,redCards,shotClockViolationsCommitted,shotClockViolationsDrawn,auTotalPoints,goalie_gamesPlayed,goalie_gamesStarted,goalie_goalsAgainst,goalie_saves,goalie_savePct,goalie_shotsFaced,goalie_shotClockViolationsCommitted,goalie_shotClockViolationsDrawn
lacrosse,v1,2021,5,1,1,Championship,67,125,,3,DEF,,Tianna,Wallpher,Tianna Wallpher,4,0,0,0,0,3,1,1,0.0,0,1,0.0,0,0,,,,,-8,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,105,8,8,DEF,,Katrina,Geiger,Katrina Geiger,4,0,0,0,0,0,1,1,0.0,0,0,0.0,0,0,,,,,14,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,127,44,44,DEF,,Sydney,Pirreca,Sydney Pirreca,4,0,0,0,3,2,0,0,0.0,0,0,0.33,1,1,,,,,-18,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,190,,39,DEF,,Mary Kate,Bonanni,Mary Kate Bonanni,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,,,,,,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,123,,52,GOAL,,Britt,Brown,Britt Brown,4,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,,,,,-2,1,0,2,0,0.0,2,,
lacrosse,v1,2021,5,1,1,Championship,67,133,10,10,ATT,,Kenzie,Kent,Kenzie Kent,4,0,1,1,4,2,0,3,0.0,0,0,0.0,0,0,,,,,-6,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,155,4,4,MIDF,,Marie,McCool,Marie McCool,4,2,0,2,6,2,4,3,0.33,0,3,0.83,3,5,,,,,62,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,102,18,18,MIDF,DRWSP,Taylor,VanThof,Taylor VanThof,4,0,0,0,2,1,0,2,0.0,0,1,0.0,0,0,,,,,-2,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,172,,77,GOAL,,Angie,Benson,Angie Benson,4,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,,,,,17,1,1,9,4,0.31,13,,
lacrosse,v1,2021,5,1,1,Championship,67,109,17,17,ATT,,Mollie,Stevens,Mollie Stevens,4,1,0,1,4,1,0,0,0.25,0,0,0.5,1,2,,,,,2,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,189,,48,MIDF,,Grace,Gabriel,Grace Gabriel,4,0,0,0,2,0,0,0,0.0,0,1,0.0,0,0,,,,,2,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,178,36,36,DEF,,Becca,Block,Becca Block,4,0,0,0,0,0,0,1,0.0,0,1,0.0,0,0,,,,,19,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,67,184,41,41,ATT,,Shayna,Pirreca,Shayna Pirreca,4,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,,,,,-8,,,,,,,,
lacrosse,v1,2021,5,1,1,Championship,66,138,11,11,MIDF,,Dempsey,Arsenault,Dempsey Arsenault,4,1,1,2,1,3,0,3,1.0,0,3,1.0,0,1,,,,,129,,,,,,,,
