sport,season,season_id,player_id,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2023,73,205,Natasha,Cloud,Natasha Cloud,15,528,68,172,0.395,12,52,0.231,56,120,0.467,66,73,0.904,9,63,72,80,26,1,39,214,4723,0.43023255813953487,18,37,10,16,0,2,1,0
basketball,2023,73,206,Sydney,Colson,Sydney Colson,14,390,47,110,0.427,20,45,0.444,27,65,0.415,21,24,0.875,4,26,30,65,14,2,31,135,2824,0.5181818181818182,13,8,18,8,0,1,0,0
basketball,2023,73,207,Ty,Young,Ty Young,15,339,42,99,0.424,6,15,0.4,36,84,0.429,22,32,0.688,21,50,71,12,26,4,15,112,3360,0.45454545454545453,16,13,13,3,6,1,1,0
basketball,2023,73,209,Jessica,Kuster,Jessica Kuster,13,137,15,37,0.405,4,7,0.571,11,30,0.367,3,6,0.5,20,15,35,2,2,2,5,37,2643,0.4594594594594595,5,3,0,4,0,0,0,0
basketball,2023,73,210,Essence,Carson,Essence Carson,10,213,24,68,0.353,8,30,0.267,16,38,0.421,8,12,0.667,6,22,28,8,6,5,9,64,2568,0.4117647058823529,8,6,3,1,0,1,0,0
basketball,2023,73,211,Odyssey,Sims,Odyssey Sims,14,541,136,304,0.447,26,81,0.321,110,223,0.493,87,101,0.861,10,59,69,103,24,2,56,385,6305,0.4901315789473684,10,53,8,26,3,5,3,0
basketball,2023,73,215,Kirby,Burkholder,Kirby Burkholder,14,154,14,27,0.519,0,7,0.0,14,20,0.7,3,4,0.75,6,21,27,8,4,2,7,31,2986,0.5185185185185185,8,1,4,3,0,0,0,0
basketball,2023,73,216,Courtney,Williams,Courtney Williams,14,410,65,163,0.399,12,39,0.308,53,124,0.427,8,10,0.8,7,67,74,65,14,2,29,150,3753,0.43558282208588955,22,3,7,6,0,2,2,0
basketball,2023,73,225,Rebecca,Harris,Rebecca Harris,12,73,9,34,0.265,4,13,0.308,5,21,0.238,0,0,,3,6,9,9,4,0,7,22,2400,0.3235294117647059,4,0,2,2,0,0,0,0
basketball,2023,73,226,Isabelle,Harrison,Isabelle Harrison,15,482,147,271,0.542,3,11,0.273,144,260,0.554,52,63,0.825,35,95,130,38,21,13,47,349,5687,0.5479704797047971,14,34,12,17,9,0,4,0
basketball,2023,73,229,Akela,Maize,Akela Maize,6,24,1,2,0.5,0,1,0.0,1,1,1.0,2,2,1.0,2,0,2,1,0,0,4,4,2826,0.5,1,1,1,0,2,0,0,0
basketball,2023,73,232,Destinee,Walker,Destinee Walker,13,182,18,44,0.409,8,20,0.4,10,24,0.417,2,2,1.0,7,8,15,7,5,0,17,46,2358,0.5,3,1,3,2,1,0,0,0
basketball,2023,73,238,Taj,Cole,Taj Cole,15,307,33,109,0.303,13,48,0.271,20,61,0.328,31,38,0.816,5,23,28,39,12,0,31,110,2733,0.3623853211009174,19,17,12,10,2,5,0,0
basketball,2023,73,240,Lexie,Brown,Lexie Brown,11,353,44,85,0.518,26,58,0.448,18,27,0.667,12,13,0.923,3,27,30,32,14,4,19,126,3939,0.6705882352941176,9,5,2,3,1,1,0,0
basketball,2023,73,241,MeMe,Jackson,MeMe Jackson,12,91,7,31,0.226,6,26,0.231,1,5,0.2,5,6,0.833,0,8,8,6,1,0,5,25,2596,0.3225806451612903,6,2,1,1,0,0,0,0
basketball,2023,73,245,Antoinette,Bannister,Antoinette Bannister,1,2,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,1,3,2930,1.5,0,0,0,0,0,0,0,0
basketball,2023,73,249,CC,Andrews,CC Andrews,2,5,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2990,0.0,0,0,1,0,0,1,0,0
basketball,2023,73,250,Danni,McCray,Danni McCray,14,259,32,68,0.471,4,11,0.364,28,57,0.491,13,20,0.65,18,24,42,11,3,4,9,81,3456,0.5,4,7,2,2,1,3,0,0
basketball,2023,73,251,Air,Hearn,Air Hearn,14,267,44,112,0.393,18,54,0.333,26,58,0.448,17,20,0.85,7,27,34,31,16,3,17,123,3950,0.4732142857142857,15,8,10,7,1,7,0,0
basketball,2023,73,254,DiJonai,Carrington,DiJonai Carrington,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,1300,,0,0,0,0,0,0,0,0
