sport,season,season_id,player_id,first_name,last_name,full_name,G,MIN,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,AU_PTS,eFG%,shootingFoulsCommitted,shootingFoulsDrawn,personalFoulsCommitted,personalFoulsDrawn,offensiveFoulsCommitted,offensiveFoulsDrawn,doubleDoubles,tripleDoubles
basketball,2022,6,205,Natasha,Cloud,Natasha Cloud,14,522,80,166,0.482,33,79,0.418,47,87,0.54,67,70,0.957,10,73,83,114,23,3,47,260,5669,0.5813253012048193,11,32,13,23,4,3,4,1
basketball,2022,6,206,Sydney,Colson,Sydney Colson,14,411,59,133,0.444,18,55,0.327,41,78,0.526,22,23,0.957,10,24,34,94,14,2,29,158,3852,0.5112781954887218,21,10,16,10,0,3,1,0
basketball,2022,6,207,Ty,Young,Ty Young,15,309,42,83,0.506,11,27,0.407,31,56,0.554,22,28,0.786,12,40,52,18,7,0,13,117,3320,0.572289156626506,11,15,18,2,1,1,0,0
basketball,2022,6,208,Laurin,Mincy,Laurin Mincy,14,399,41,123,0.333,17,62,0.274,24,61,0.393,13,14,0.929,15,24,39,23,12,4,22,112,2844,0.4024390243902439,15,8,4,4,3,2,0,0
basketball,2022,6,209,Jessica,Kuster,Jessica Kuster,15,420,53,105,0.505,13,31,0.419,40,74,0.541,14,16,0.875,16,55,71,13,15,5,14,133,4017,0.5666666666666667,9,8,4,9,1,3,1,0
basketball,2022,6,210,Essence,Carson,Essence Carson,8,251,39,80,0.488,7,23,0.304,32,57,0.561,11,14,0.786,6,30,36,21,8,4,16,96,3350,0.53125,7,5,6,9,2,5,1,0
basketball,2022,6,211,Odyssey,Sims,Odyssey Sims,15,507,114,240,0.475,37,89,0.416,77,151,0.51,46,51,0.902,14,67,81,80,17,1,49,311,5043,0.5520833333333334,7,23,13,20,6,9,2,0
basketball,2022,6,213,Jantel,Lavender,Jantel Lavender,14,467,87,160,0.544,10,22,0.455,77,138,0.558,12,13,0.923,27,69,96,28,9,11,22,196,4054,0.575,13,8,4,9,1,1,1,0
basketball,2022,6,214,Tianna,Hawkins,Tianna Hawkins,14,484,126,221,0.57,24,70,0.343,102,151,0.675,46,52,0.885,25,122,147,22,14,14,40,322,6316,0.6244343891402715,14,24,14,26,7,4,10,0
basketball,2022,6,215,Kirby,Burkholder,Kirby Burkholder,15,302,31,61,0.508,9,23,0.391,22,38,0.579,9,10,0.9,15,35,50,14,8,1,10,80,2767,0.5819672131147541,11,6,8,2,1,1,0,0
