sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2021,3,1,1,Championship,,,None,,,,,None None,,,None,,,29,22,46,2.09,12,108,0.31,37,1.68,0,3,3,0.14,53,2,0.62,49,2.23,7,0.32,2164
volleyball,v1,2021,3,1,1,Championship,,,None,,,,,None None,,,None,,,27,26,38,1.46,15,106,0.22,32,1.23,1,2,5,0.08,70,3,0.6,49,1.88,9,0.35,969
volleyball,v1,2021,3,2,1,Championship,,,None,,,,,None None,,,None,,,28,25,56,2.24,10,121,0.38,48,1.92,0,3,4,0.12,64,2,0.64,56,2.24,9,0.36,2926
volleyball,v1,2021,3,2,1,Championship,,,None,,,,,None None,,,None,,,26,24,44,1.83,18,119,0.22,42,1.75,0,2,3,0.08,68,1,0.65,59,2.46,5,0.21,609
volleyball,v1,2021,3,3,1,Championship,,,None,,,,,None None,,,None,,,28,24,39,1.63,10,100,0.29,38,1.58,0,2,5,0.08,62,2,0.63,42,1.75,5,0.21,998
volleyball,v1,2021,3,3,1,Championship,,,None,,,,,None None,,,None,,,27,25,50,2.0,13,107,0.35,48,1.92,1,2,6,0.08,58,1,0.71,54,2.16,7,0.28,2320
volleyball,v1,2021,3,4,1,Championship,,,None,,,,,None None,,,None,,,26,26,39,1.5,17,105,0.21,36,1.38,0,5,9,0.19,69,1,0.43,52,2.0,8,0.31,1016
volleyball,v1,2021,3,4,1,Championship,,,None,,,,,None None,,,None,,,29,27,44,1.63,15,114,0.25,40,1.48,0,1,4,0.04,56,5,0.63,48,1.78,8,0.3,2018
volleyball,v1,2021,3,5,1,Championship,,,None,,,,,None None,,,None,,,27,25,39,1.56,14,99,0.25,40,1.6,0,1,8,0.04,60,3,0.48,49,1.96,10,0.4,1719
volleyball,v1,2021,3,5,1,Championship,,,None,,,,,None None,,,None,,,26,22,47,2.14,19,118,0.24,42,1.91,0,3,8,0.14,66,1,0.68,47,2.14,7,0.32,1459
volleyball,v1,2021,3,6,1,Championship,,,None,,,,,None None,,,None,,,29,28,42,1.5,10,94,0.34,37,1.32,0,4,5,0.14,56,7,0.54,44,1.57,4,0.14,2005
volleyball,v1,2021,3,6,1,Championship,,,None,,,,,None None,,,None,,,28,25,33,1.32,13,89,0.22,30,1.2,0,9,2,0.36,59,3,0.66,42,1.68,4,0.16,990
volleyball,v1,2021,3,7,2,Championship,,,None,,,,,None None,,,None,,,33,24,49,2.04,11,112,0.34,46,1.92,0,3,8,0.13,64,2,0.53,53,2.21,10,0.42,2307
volleyball,v1,2021,3,7,2,Championship,,,None,,,,,None None,,,None,,,31,25,43,1.72,19,118,0.2,42,1.68,0,2,3,0.08,66,3,0.42,51,2.04,5,0.2,993
volleyball,v1,2021,3,8,2,Championship,,,None,,,,,None None,,,None,,,32,23,46,2.0,11,126,0.28,41,1.78,0,2,4,0.09,65,4,0.51,58,2.52,9,0.39,1505
volleyball,v1,2021,3,8,2,Championship,,,None,,,,,None None,,,None,,,30,22,48,2.18,15,121,0.27,48,2.18,0,4,2,0.18,62,2,0.53,66,3.0,5,0.23,1916
volleyball,v1,2021,3,9,2,Championship,,,None,,,,,None None,,,None,,,31,22,49,2.23,15,120,0.28,45,2.05,1,3,4,0.14,68,2,0.62,61,2.77,7,0.32,1178
volleyball,v1,2021,3,9,2,Championship,,,None,,,,,None None,,,None,,,30,21,47,2.24,15,125,0.26,42,2.0,0,2,2,0.1,64,3,0.63,58,2.76,10,0.48,2320
volleyball,v1,2021,3,10,2,Championship,,,None,,,,,None None,,,None,,,33,24,40,1.67,16,109,0.22,37,1.54,0,2,6,0.08,54,4,0.52,52,2.17,9,0.38,2177
volleyball,v1,2021,3,10,2,Championship,,,None,,,,,None None,,,None,,,32,25,35,1.4,17,104,0.17,32,1.28,0,4,5,0.16,60,2,0.5,52,2.08,9,0.36,920
volleyball,v1,2021,3,11,2,Championship,,,None,,,,,None None,,,None,,,32,24,44,1.83,11,100,0.33,39,1.63,0,5,4,0.21,55,1,0.47,42,1.75,12,0.5,2601
volleyball,v1,2021,3,11,2,Championship,,,None,,,,,None None,,,None,,,31,26,39,1.5,22,111,0.15,35,1.35,0,2,2,0.08,69,5,0.43,39,1.5,5,0.19,346
volleyball,v1,2021,3,12,2,Championship,,,None,,,,,None None,,,None,,,30,23,41,1.78,18,126,0.18,41,1.78,0,2,5,0.09,68,2,0.49,53,2.3,6,0.26,996
volleyball,v1,2021,3,12,2,Championship,,,None,,,,,None None,,,None,,,33,28,47,1.68,9,113,0.34,41,1.46,0,3,4,0.11,50,2,0.52,59,2.11,11,0.39,2388
volleyball,v1,2021,3,13,3,Championship,,,None,,,,,None None,,,None,,,37,23,40,1.74,18,108,0.2,37,1.61,0,3,1,0.13,71,4,0.46,33,1.43,7,0.3,456
volleyball,v1,2021,3,13,3,Championship,,,None,,,,,None None,,,None,,,35,24,52,2.17,11,102,0.4,50,2.08,0,5,3,0.21,59,3,0.61,49,2.04,8,0.33,2827
volleyball,v1,2021,3,14,3,Championship,,,None,,,,,None None,,,None,,,36,24,41,1.71,18,152,0.15,35,1.46,0,3,5,0.13,64,1,0.45,70,2.92,10,0.42,1159
volleyball,v1,2021,3,14,3,Championship,,,None,,,,,None None,,,None,,,34,24,54,2.25,22,158,0.2,50,2.08,0,3,11,0.13,71,2,0.62,80,3.33,6,0.25,2302
volleyball,v1,2021,3,15,3,Championship,,,None,,,,,None None,,,None,,,36,24,33,1.38,13,96,0.21,31,1.29,0,2,3,0.08,69,8,0.32,34,1.42,4,0.17,305
volleyball,v1,2021,3,15,3,Championship,,,None,,,,,None None,,,None,,,35,24,50,2.08,12,101,0.38,47,1.96,0,8,4,0.33,53,2,0.36,43,1.79,6,0.25,2768
volleyball,v1,2021,3,16,3,Championship,,,None,,,,,None None,,,None,,,34,24,48,2.0,13,113,0.31,44,1.83,0,5,3,0.21,50,2,0.64,61,2.54,9,0.38,2421
volleyball,v1,2021,3,16,3,Championship,,,None,,,,,None None,,,None,,,37,27,34,1.26,14,119,0.17,31,1.15,0,2,2,0.07,64,4,0.38,46,1.7,8,0.3,909
volleyball,v1,2021,3,17,3,Championship,,,None,,,,,None None,,,None,,,37,27,43,1.59,19,125,0.19,42,1.56,0,4,4,0.15,69,1,0.61,58,2.15,6,0.22,648
volleyball,v1,2021,3,17,3,Championship,,,None,,,,,None None,,,None,,,36,21,50,2.38,13,135,0.27,44,2.1,1,1,5,0.05,63,4,0.57,56,2.67,10,0.48,2732
volleyball,v1,2021,3,18,3,Championship,,,None,,,,,None None,,,None,,,35,27,46,1.7,10,119,0.3,42,1.56,1,3,3,0.11,54,3,0.46,63,2.33,8,0.3,2355
volleyball,v1,2021,3,18,3,Championship,,,None,,,,,None None,,,None,,,34,25,46,1.84,15,141,0.22,43,1.72,0,3,9,0.12,70,3,0.53,54,2.16,3,0.12,999
volleyball,v1,2021,3,19,4,Championship,,,None,,,,,None None,,,None,,,41,21,27,1.29,10,91,0.19,23,1.1,0,1,7,0.05,66,4,0.5,35,1.67,11,0.52,420
volleyball,v1,2021,3,19,4,Championship,,,None,,,,,None None,,,None,,,39,22,52,2.36,19,118,0.28,48,2.18,0,4,7,0.18,50,1,0.66,50,2.27,9,0.41,2720
volleyball,v1,2021,3,20,4,Championship,,,None,,,,,None None,,,None,,,40,27,53,1.96,10,122,0.35,50,1.85,0,2,9,0.07,63,5,0.43,54,2.0,7,0.26,2314
volleyball,v1,2021,3,20,4,Championship,,,None,,,,,None None,,,None,,,38,23,38,1.65,11,111,0.24,36,1.57,0,6,3,0.26,60,2,0.58,47,2.04,2,0.09,1001
volleyball,v1,2021,3,21,4,Championship,,,None,,,,,None None,,,None,,,40,27,40,1.48,18,119,0.18,36,1.33,0,4,3,0.15,68,4,0.46,50,1.85,5,0.19,928
volleyball,v1,2021,3,21,4,Championship,,,None,,,,,None None,,,None,,,39,24,44,1.83,13,113,0.27,39,1.63,1,4,0,0.17,55,4,0.56,53,2.21,13,0.54,2366
volleyball,v1,2021,3,22,4,Championship,,,None,,,,,None None,,,None,,,38,21,46,2.19,10,129,0.28,39,1.86,0,3,6,0.14,58,1,0.5,63,3.0,7,0.33,2820
volleyball,v1,2021,3,22,4,Championship,,,None,,,,,None None,,,None,,,41,25,42,1.68,17,135,0.19,40,1.6,1,2,4,0.08,68,3,0.46,61,2.44,4,0.16,531
volleyball,v1,2021,3,23,4,Championship,,,None,,,,,None None,,,None,,,41,27,35,1.3,14,117,0.18,34,1.26,1,0,5,0.0,68,4,0.47,41,1.52,8,0.3,411
volleyball,v1,2021,3,23,4,Championship,,,None,,,,,None None,,,None,,,40,27,51,1.89,15,114,0.32,44,1.63,0,4,5,0.15,52,0,0.58,57,2.11,8,0.3,2821
volleyball,v1,2021,3,24,4,Championship,,,None,,,,,None None,,,None,,,39,24,56,2.33,18,138,0.28,53,2.21,0,4,3,0.17,53,0,0.6,63,2.63,4,0.17,2836
volleyball,v1,2021,3,24,4,Championship,,,None,,,,,None None,,,None,,,38,24,35,1.46,10,113,0.22,34,1.42,0,0,4,0.0,70,4,0.53,51,2.13,8,0.33,539
volleyball,v1,2021,3,25,5,Championship,,,None,,,,,None None,,,None,,,45,26,43,1.65,11,111,0.29,40,1.54,0,3,5,0.12,52,2,0.4,54,2.08,8,0.31,2292
volleyball,v1,2021,3,25,5,Championship,,,None,,,,,None None,,,None,,,43,22,38,1.73,16,116,0.19,33,1.5,0,2,4,0.09,63,4,0.56,50,2.27,6,0.27,881
volleyball,v1,2021,3,26,5,Championship,,,None,,,,,None None,,,None,,,44,26,34,1.31,17,116,0.15,31,1.19,1,2,8,0.08,66,4,0.36,47,1.81,5,0.19,802
volleyball,v1,2021,3,26,5,Championship,,,None,,,,,None None,,,None,,,42,23,42,1.83,13,111,0.26,39,1.7,0,3,6,0.13,48,2,0.6,51,2.22,10,0.43,2256
volleyball,v1,2021,3,27,5,Championship,,,None,,,,,None None,,,None,,,44,24,51,2.13,15,122,0.3,45,1.88,0,1,9,0.04,60,5,0.43,53,2.21,9,0.38,2238
volleyball,v1,2021,3,27,5,Championship,,,None,,,,,None None,,,None,,,43,23,34,1.48,15,112,0.17,30,1.3,0,5,4,0.22,63,1,0.54,44,1.91,7,0.3,910
volleyball,v1,2021,3,28,5,Championship,,,None,,,,,None None,,,None,,,42,27,46,1.7,13,141,0.23,40,1.48,0,2,3,0.07,73,1,0.73,59,2.19,12,0.44,1225
volleyball,v1,2021,3,28,5,Championship,,,None,,,,,None None,,,None,,,45,27,63,2.33,23,157,0.25,57,2.11,0,1,6,0.04,73,2,0.59,72,2.67,9,0.33,2439
volleyball,v1,2021,3,29,5,Championship,,,None,,,,,None None,,,None,,,45,27,45,1.67,13,134,0.24,41,1.52,0,3,5,0.11,60,2,0.58,54,2.0,9,0.33,2765
volleyball,v1,2021,3,29,5,Championship,,,None,,,,,None None,,,None,,,44,26,46,1.77,19,130,0.21,44,1.69,0,3,6,0.12,69,3,0.55,56,2.15,6,0.23,564
volleyball,v1,2021,3,30,5,Championship,,,None,,,,,None None,,,None,,,43,23,41,1.78,16,121,0.21,36,1.57,0,3,6,0.13,61,3,0.61,59,2.57,14,0.61,1901
volleyball,v1,2021,3,30,5,Championship,,,None,,,,,None None,,,None,,,42,26,41,1.58,19,126,0.17,38,1.46,1,3,3,0.12,61,3,0.57,53,2.04,6,0.23,1449
