sport,api_version,season,seasonId,week_number,game_number,season_type,playerId,uniformNumber,uniformNumberDisplay,primaryPositionLk,secondaryPositionLk,first_name,last_name,full_name,player_id,uniform_number,uniform_number_display,primary_position_lk,secondary_position_lk,team_id,sets_played,kills,kills_per_set,attack_errors,attack_attempts,attack_percentage,assists,assists_per_set,setting_errors,service_errors,service_aces,service_aces_per_set,total_reception_attempts,reception_errors,positive_reception_pct,digs,digs_per_set,blocks,blocks_per_set,au_total_points
volleyball,v1,2022,11,1,1,Championship,,,None,,,,,None None,,,None,,,128,21,47,2.24,13,134,0.25,43,2.05,1,3,8,0.14,70,5,0.63,52,2.48,8,0.38,2226
volleyball,v1,2022,11,1,1,Championship,,,None,,,,,None None,,,None,,,127,24,45,1.88,19,133,0.2,43,1.79,3,6,4,0.25,68,3,0.57,67,2.79,8,0.33,1091
volleyball,v1,2022,11,2,1,Championship,,,None,,,,,None None,,,None,,,126,21,39,1.86,17,106,0.21,35,1.67,0,5,5,0.24,55,3,0.42,45,2.14,7,0.33,2122
volleyball,v1,2022,11,2,1,Championship,,,None,,,,,None None,,,None,,,129,24,32,1.33,18,105,0.13,32,1.33,0,3,5,0.13,62,5,0.5,47,1.96,11,0.46,897
volleyball,v1,2022,11,3,1,Championship,,,None,,,,,None None,,,None,,,129,24,41,1.71,13,110,0.25,39,1.63,0,3,2,0.13,64,4,0.53,45,1.88,11,0.46,1788
volleyball,v1,2022,11,3,1,Championship,,,None,,,,,None None,,,None,,,127,23,49,2.13,21,123,0.23,46,2.0,2,4,4,0.17,67,1,0.51,52,2.26,5,0.22,1474
volleyball,v1,2022,11,4,1,Championship,,,None,,,,,None None,,,None,,,128,26,42,1.62,22,134,0.15,40,1.54,4,3,6,0.12,68,3,0.56,64,2.46,9,0.35,931
volleyball,v1,2022,11,4,1,Championship,,,None,,,,,None None,,,None,,,126,21,42,2.0,19,133,0.17,36,1.71,1,3,9,0.14,68,3,0.46,62,2.95,13,0.62,2224
volleyball,v1,2022,11,5,1,Championship,,,None,,,,,None None,,,None,,,129,24,55,2.29,13,116,0.36,46,1.92,2,5,3,0.21,57,3,0.72,53,2.21,4,0.17,2801
volleyball,v1,2022,11,5,1,Championship,,,None,,,,,None None,,,None,,,128,27,36,1.33,12,112,0.21,34,1.26,0,3,2,0.11,72,5,0.54,38,1.41,6,0.22,478
